"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"17","17. Men with 10 or more years of schooling (%)",59.4,47.7,52.3,52.6,"Andaman & Nicobar Islands","","","",""
"18","18. Women who have ever used the internet (%)",44.1,27.9,34.8,NA,"Andaman & Nicobar Islands","","","",""
"19","19. Men who have ever used the internet (%)",54.6,41.1,46.5,NA,"Andaman & Nicobar Islands","","","",""
"20","20. Women age 20-24 years married before age 18 years (%)",17.4,15.3,16.2,16.4,"Andaman & Nicobar Islands","","","",""
"21","21. Men age 25-29 years married before age 21 years (%)",NA,5.8,7.1,9.7,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"22","22. Total fertility rate (children per woman)",1.4,1.2,1.3,1.4,"Andaman & Nicobar Islands","","","",""
"23","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",1.5,4,3,4.7,"Andaman & Nicobar Islands","","","",""
"24","24. Adolescent fertility rate for women age 15-19 years5",36,13,22,28,"Andaman & Nicobar Islands","","","",""
"25","25. Neonatal mortality rate (NNMR)",NA,2.8,12.3,7.3,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"26","26. Infant mortality rate (IMR)",NA,8.4,20.6,9.8,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"27","27. Under-five mortality rate (U5MR)",NA,9.5,24.5,13,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"28","28. Any method6 (%)",54.4,73.4,65.8,50.8,"Andaman & Nicobar Islands","","","",""
"29","29. Any modern method6 (%)",48.5,63.9,57.7,48.3,"Andaman & Nicobar Islands","","","",""
"30","30. Female sterilization (%)",31,44.6,39.2,39.9,"Andaman & Nicobar Islands","","","",""
"31","31. Male sterilization (%)",0,0.3,0.2,0,"Andaman & Nicobar Islands","","","",""
"32","32. IUD/PPIUD (%)",2.2,5,3.9,2.1,"Andaman & Nicobar Islands","","","",""
"33","33. Pill (%)",2.2,4.5,3.6,2.2,"Andaman & Nicobar Islands","","","",""
"34","34. Condom (%)",12.1,8.2,9.8,4.2,"Andaman & Nicobar Islands","","","",""
"35","35. Injectables (%)",0.5,0.1,0.3,0,"Andaman & Nicobar Islands","","","",""
"36","36. Total unmet need7 (%)",18.3,10.3,13.5,15.5,"Andaman & Nicobar Islands","","","",""
"37","37. Unmet need for spacing7 (%)",8.8,4.3,6.1,8.1,"Andaman & Nicobar Islands","","","",""
"38","38. Health worker ever talked to female non-users about family planning (%)",30.1,31,30.6,37.2,"Andaman & Nicobar Islands","","","",""
"39","39. Current users ever told about side effects of current method8 (%)",88,80.5,83.4,66.4,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"40","40. Mothers who had an antenatal check-up in the first trimester (%)",81.2,73.5,77.1,68.4,"Andaman & Nicobar Islands","","","",""
"41","41. Mothers who had at least 4 antenatal care visits (%)",86,81,83.4,92.1,"Andaman & Nicobar Islands","","","",""
"42","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.8,89,90.8,91.8,"Andaman & Nicobar Islands","","","",""
"43","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",81.2,80.7,80.9,58.4,"Andaman & Nicobar Islands","","","",""
"44","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",64.8,41,52.1,33.7,"Andaman & Nicobar Islands","","","",""
"45","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",100,97.9,98.9,97.7,"Andaman & Nicobar Islands","","","",""
"46","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89.4,88.5,88.9,75,"Andaman & Nicobar Islands","","","",""
"47","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",4230,2089,2924,1278,"Andaman & Nicobar Islands","","","",""
"48","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,NA,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"49","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",90,91.8,91,NA,"Andaman & Nicobar Islands","","","",""
"50","50. Institutional births (%)",99.2,98.7,99,96.4,"Andaman & Nicobar Islands","","","",""
"51","51. Institutional births in public facility (%)",81.8,92.1,87.3,92,"Andaman & Nicobar Islands","","","",""
"52","52. Home births that were conducted by skilled health personnel10 (%)",0,0.4,0.2,1,"Andaman & Nicobar Islands","","","",""
"53","53. Births attended by skilled health personnel10 (%)",96.7,97.8,97.3,97.2,"Andaman & Nicobar Islands","","","",""
"54","54. Births delivered by caesarean section (%)",40.8,20.2,29.9,19.3,"Andaman & Nicobar Islands","","","",""
"55","55. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,79.2,NA,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"56","56. Births in a public health facility that were delivered by caesarean section (%)",33.6,15.8,23.6,16.9,"Andaman & Nicobar Islands","","","",""
"57","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",72.1,84.8,77.8,73.2,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"58","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",NA,96.8,96,84.8,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"59","59. Children age 12-23 months who have received BCG (%)",100,95.9,98.2,87.4,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"60","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",75.7,87.4,80.9,83.9,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"61","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",93.1,92.1,92.6,83.5,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"62","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",79.3,85.5,82.1,76.4,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"63","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",34.6,28.6,31.9,NA,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"64","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",0,0.7,0.3,NA,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"65","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",83,88.4,85.4,83.1,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"66","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",84.3,87.2,86,76,"Andaman & Nicobar Islands","","","",""
"67","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",90.9,100,94.9,94.4,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"68","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",5.7,0,3.2,5.6,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"69","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.2,5.1,5.6,5.3,"Andaman & Nicobar Islands","","","",""
"70","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,65,65,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"71","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,44.1,8.3,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"72","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,83.3,53.5,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"73","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0,3.1,1.7,1.5,"Andaman & Nicobar Islands","","","",""
"74","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",81,64.6,72.7,75.8,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"75","75. Children under age 3 years breastfed within one hour of birth15 (%)",45.8,47.8,46.9,41.9,"Andaman & Nicobar Islands","","","",""
"76","76. Children under age 6 months exclusively breastfed16 (%)",NA,NA,73.3,66.8,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"77","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,NA,45.1,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"78","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",24.3,12.4,18.5,13.5,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"79","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,NA,17.6,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"80","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",27.7,10.6,19.5,14.2,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"81","81. Children under 5 years who are stunted (height-for-age)18 (%)",18.2,26.4,22.5,23.3,"Andaman & Nicobar Islands","","","",""
"82","82. Children under 5 years who are wasted (weight-for-height)18 (%)",12.8,19,16,18.9,"Andaman & Nicobar Islands","","","",""
"83","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",5.1,4.6,4.8,7.5,"Andaman & Nicobar Islands","","","",""
"84","84. Children under 5 years who are underweight (weight-for-age)18 (%)",15.1,31.1,23.7,21.6,"Andaman & Nicobar Islands","","","",""
"85","85. Children under 5 years who are overweight (weight-for-height)20 (%)",5.7,5.2,5.4,3,"Andaman & Nicobar Islands","","","",""
"86","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",11.3,8.2,9.4,13.1,"Andaman & Nicobar Islands","","","",""
"87","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",7.8,1.6,4,8.7,"Andaman & Nicobar Islands","","","",""
"88","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",41.7,35.7,38.1,31.8,"Andaman & Nicobar Islands","","","",""
"89","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",37,50.6,45.3,38.2,"Andaman & Nicobar Islands","","","",""
"90","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",72.2,80.7,77.3,NA,"Andaman & Nicobar Islands","","","",""
"91","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",61.3,53.7,56.6,NA,"Andaman & Nicobar Islands","","","",""
"92","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",47.8,33.3,40,49,"Andaman & Nicobar Islands","","","",""
"93","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",57.4,57.7,57.6,65.8,"Andaman & Nicobar Islands","","","",""
"94","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,55.5,53.7,61.4,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"95","95. All women age 15-49 years who are anaemic22 (%)",57.2,57.6,57.5,65.7,"Andaman & Nicobar Islands","","","",""
"96","96. All women age 15-19 years who are anaemic22 (%)",44.1,45.5,44.9,68.1,"Andaman & Nicobar Islands","","","",""
"97","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",9.2,20.4,16.1,30.8,"Andaman & Nicobar Islands","","","",""
"98","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,25.6,27.1,43,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"99","99. Blood sugar level - high (141-160 mg/dl)23 (%)",8.6,6.7,7.4,NA,"Andaman & Nicobar Islands","","","",""
"100","100. Blood sugar level - very high (>160 mg/dl)23 (%)",9.4,7.3,8.1,NA,"Andaman & Nicobar Islands","","","",""
"101","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",19.6,16.2,17.5,NA,"Andaman & Nicobar Islands","","","",""
"102","102. Blood sugar level - high (141-160 mg/dl)23 (%)",9.5,9.1,9.3,NA,"Andaman & Nicobar Islands","","","",""
"103","103. Blood sugar level - very high (>160 mg/dl)23 (%)",8.6,6.6,7.3,NA,"Andaman & Nicobar Islands","","","",""
"104","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",19.4,17.1,17.9,NA,"Andaman & Nicobar Islands","","","",""
"105","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12.6,16.9,15.3,NA,"Andaman & Nicobar Islands","","","",""
"106","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",5,4.8,4.9,NA,"Andaman & Nicobar Islands","","","",""
"107","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",23.4,26.4,25.3,NA,"Andaman & Nicobar Islands","","","",""
"108","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",17.6,22.1,20.6,NA,"Andaman & Nicobar Islands","","","",""
"109","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",6.5,6.4,6.5,NA,"Andaman & Nicobar Islands","","","",""
"110","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",28.2,31.2,30.2,NA,"Andaman & Nicobar Islands","","","",""
"111","111. Ever undergone a screening test for cervical cancer (%)",1.7,2.8,2.4,NA,"Andaman & Nicobar Islands","","","",""
"112","112. Ever undergone a breast examination for breast cancer (%)",0,2.6,1.6,NA,"Andaman & Nicobar Islands","","","",""
"113","113. Ever undergone an oral cavity examination for oral cancer (%)",10,10.2,10.1,NA,"Andaman & Nicobar Islands","","","",""
"114","114. Ever undergone an oral cavity examination for oral cancer (%)",3.5,4,3.8,NA,"Andaman & Nicobar Islands","","","",""
"115","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",10.1,18.4,14.9,29.3,"Andaman & Nicobar Islands","","","",""
"116","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",36.8,33.4,34.7,44,"Andaman & Nicobar Islands","","","",""
"117","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",81.4,72.5,76.3,59.5,"Andaman & Nicobar Islands","","","",""
"118","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",67.5,62.2,64.3,75.3,"Andaman & Nicobar Islands","","","",""
"119","119. Currently married women who usually participate in three household decisions25 (%)",93,95.5,94.5,92.6,"Andaman & Nicobar Islands","","","",""
"120","120. Women who worked in the last 12 months and were paid in cash (%)",34.7,17.1,24.6,21,"Andaman & Nicobar Islands","","","",""
"121","121. Women owning a house and/or land (alone or jointly with others) (%)",10.9,19.4,15.8,29.7,"Andaman & Nicobar Islands","","","",""
"122","122. Women having a bank or savings account that they themselves use (%)",88.5,89.8,89.2,81.8,"Andaman & Nicobar Islands","","","",""
"123","123. Women having a mobile phone that they themselves use (%)",80.8,80.9,80.8,66.9,"Andaman & Nicobar Islands","","","",""
"124","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",98.5,99.1,98.9,90.3,"Andaman & Nicobar Islands","","","",""
"125","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",23.2,13.2,17.2,18.4,"Andaman & Nicobar Islands","","","",""
"126","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,0.5,0.3,3.2,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"127","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",1.4,2.2,1.8,2.9,"Andaman & Nicobar Islands","","","",""
"128","128. Women age 15 years and above who use any kind of tobacco (%)",15,41.1,31.3,NA,"Andaman & Nicobar Islands","","","",""
"129","129. Men age 15 years and above who use any kind of tobacco (%)",44.7,66.4,58.7,NA,"Andaman & Nicobar Islands","","","",""
"130","130. Women age 15 years and above who consume alcohol (%)",0.7,7.6,5,NA,"Andaman & Nicobar Islands","","","",""
"131","131. Men age 15 years and above who consume alcohol (%)",33.8,41.9,39.1,NA,"Andaman & Nicobar Islands","","","",""
"132","1. Female population age 6 years and above who ever attended school (%)",75.5,61.2,65.6,62,"Andhra Pradesh","","","",""
"133","2. Population below age 15 years (%)",21.3,22.6,22.2,23.7,"Andhra Pradesh","","","",""
"134","3. Sex ratio of the total population (females per 1,000 males)",1024,1055,1045,1021,"Andhra Pradesh","","","",""
"135","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",877,957,934,914,"Andhra Pradesh","","","",""
"136","5. Children under age 5 years whose birth was registered with the civil authority (%)",93.8,91.6,92.2,82.7,"Andhra Pradesh","","","",""
"137","6. Deaths in the last 3 years registered with the civil authority (%)",89.4,76.6,80.2,NA,"Andhra Pradesh","","","",""
"138","7. Population living in households with electricity (%)",99.6,99.4,99.5,99.2,"Andhra Pradesh","","","",""
"139","8. Population living in households with an improved drinking-water source1 (%)",99.4,95.4,96.7,95.6,"Andhra Pradesh","","","",""
"140","9. Population living in households that use an improved sanitation facility2 (%)",89.1,72.1,77.3,54.4,"Andhra Pradesh","","","",""
"141","10. Households using clean fuel for cooking3 (%)",96.6,77.9,83.6,62,"Andhra Pradesh","","","",""
"142","11. Households using iodized salt (%)",89.3,80.4,83.1,81.6,"Andhra Pradesh","","","",""
"143","12. Households with any usual member covered under a health insurance/financing scheme (%)",62.2,73.7,70.2,74.6,"Andhra Pradesh","","","",""
"144","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",10.2,9.8,9.9,NA,"Andhra Pradesh","","","",""
"145","14. Women who are literate4 (%)",79,63.8,68.6,NA,"Andhra Pradesh","","","",""
"146","15. Men who are literate4 (%)",86.4,76.3,79.5,NA,"Andhra Pradesh","","","",""
"147","16. Women with 10 or more years of schooling (%)",51.2,34.3,39.6,34.3,"Andhra Pradesh","","","",""
"148","17. Men with 10 or more years of schooling (%)",59.5,42.5,47.9,51.3,"Andhra Pradesh","","","",""
"149","18. Women who have ever used the internet (%)",33.9,15.4,21,NA,"Andhra Pradesh","","","",""
"150","19. Men who have ever used the internet (%)",65.1,41.5,48.8,NA,"Andhra Pradesh","","","",""
"151","20. Women age 20-24 years married before age 18 years (%)",21.7,32.9,29.3,33,"Andhra Pradesh","","","",""
"152","21. Men age 25-29 years married before age 21 years (%)",13.1,15.2,14.5,15.8,"Andhra Pradesh","","","",""
"153","22. Total fertility rate (children per woman)",1.5,1.8,1.7,1.8,"Andhra Pradesh","","","",""
"154","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",9.3,14.1,12.6,11.8,"Andhra Pradesh","","","",""
"155","24. Adolescent fertility rate for women age 15-19 years5",40,80,67,83,"Andhra Pradesh","","","",""
"156","25. Neonatal mortality rate (NNMR)",14.4,22.1,19.9,23.6,"Andhra Pradesh","","","",""
"157","26. Infant mortality rate (IMR)",29.8,30.4,30.3,34.9,"Andhra Pradesh","","","",""
"158","27. Under-five mortality rate (U5MR)",33.7,35.8,35.2,40.8,"Andhra Pradesh","","","",""
"159","28. Any method6 (%)",70.8,71.2,71.1,69.5,"Andhra Pradesh","","","",""
"160","29. Any modern method6 (%)",70.3,71.1,70.8,69.4,"Andhra Pradesh","","","",""
"161","30. Female sterilization (%)",68.3,70.2,69.6,68.3,"Andhra Pradesh","","","",""
"162","31. Male sterilization (%)",0.6,0.4,0.4,0.6,"Andhra Pradesh","","","",""
"163","32. IUD/PPIUD (%)",0.2,0.1,0.2,0.2,"Andhra Pradesh","","","",""
"164","33. Pill (%)",0.1,0.1,0.1,0.2,"Andhra Pradesh","","","",""
"165","34. Condom (%)",0.9,0.3,0.5,0.2,"Andhra Pradesh","","","",""
"166","35. Injectables (%)",0,0,0,0,"Andhra Pradesh","","","",""
"167","36. Total unmet need7 (%)",5.2,4.4,4.7,4.7,"Andhra Pradesh","","","",""
"168","37. Unmet need for spacing7 (%)",2.3,2.8,2.6,3.1,"Andhra Pradesh","","","",""
"169","38. Health worker ever talked to female non-users about family planning (%)",18.6,18.6,18.6,19.7,"Andhra Pradesh","","","",""
"170","39. Current users ever told about side effects of current method8 (%)",33.6,27.1,28.9,25,"Andhra Pradesh","","","",""
"171","40. Mothers who had an antenatal check-up in the first trimester (%)",82.7,81.3,81.7,82.3,"Andhra Pradesh","","","",""
"172","41. Mothers who had at least 4 antenatal care visits (%)",67.2,67.6,67.5,76.3,"Andhra Pradesh","","","",""
"173","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.5,92.9,92.8,94.9,"Andhra Pradesh","","","",""
"174","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",76.7,67.6,70.3,56.1,"Andhra Pradesh","","","",""
"175","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",45.6,39.3,41.1,30.6,"Andhra Pradesh","","","",""
"176","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.2,97.5,96.5,92.6,"Andhra Pradesh","","","",""
"177","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.2,90.1,90.7,79.7,"Andhra Pradesh","","","",""
"178","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2659,3248,3105,2322,"Andhra Pradesh","","","",""
"179","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,14.2,17.2,9.3,"Andhra Pradesh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"180","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.9,92.1,92.3,NA,"Andhra Pradesh","","","",""
"181","50. Institutional births (%)",98.6,95.7,96.5,91.5,"Andhra Pradesh","","","",""
"182","51. Institutional births in public facility (%)",41.8,53.7,50.4,38.3,"Andhra Pradesh","","","",""
"183","52. Home births that were conducted by skilled health personnel10 (%)",1,1.4,1.3,3.7,"Andhra Pradesh","","","",""
"184","53. Births attended by skilled health personnel10 (%)",98.3,95.2,96.1,92.1,"Andhra Pradesh","","","",""
"185","54. Births delivered by caesarean section (%)",50.5,39.3,42.4,40.1,"Andhra Pradesh","","","",""
"186","55. Births in a private health facility that were delivered by caesarean section (%)",66.1,61.4,63,57,"Andhra Pradesh","","","",""
"187","56. Births in a public health facility that were delivered by caesarean section (%)",30.9,25.2,26.6,25.5,"Andhra Pradesh","","","",""
"188","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",69.3,74.7,73,65.3,"Andhra Pradesh","","","",""
"189","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",89.1,87.5,88,79.9,"Andhra Pradesh","","","",""
"190","59. Children age 12-23 months who have received BCG (%)",92.4,95.6,94.6,97.3,"Andhra Pradesh","","","",""
"191","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",70.6,76.9,75,72.3,"Andhra Pradesh","","","",""
"192","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",84.8,89.9,88.4,89,"Andhra Pradesh","","","",""
"193","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",83.7,88.6,87.1,89.4,"Andhra Pradesh","","","",""
"194","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",27.1,31.3,30,NA,"Andhra Pradesh","","","",""
"195","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",72,77,75.5,NA,"Andhra Pradesh","","","",""
"196","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",83,86.4,85.3,68.8,"Andhra Pradesh","","","",""
"197","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",81.7,79.7,80.3,79.3,"Andhra Pradesh","","","",""
"198","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",86.4,97.4,94.2,91.6,"Andhra Pradesh","","","",""
"199","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",11.5,1.3,4.3,8.4,"Andhra Pradesh","","","",""
"200","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.2,7.6,7.2,6.6,"Andhra Pradesh","","","",""
