"state","Indicator","Urban","Rural","Total","NFHS4","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"INDIA","38. Health worker ever talked to female non-users about family planning (%)",23,24.3,23.9,17.7,"","","",""
"INDIA","39. Current users ever told about side effects of current method8 (%)",64.7,61.5,62.4,46.6,"","","",""
"INDIA","40. Mothers who had an antenatal check-up in the first trimester (%)",75.5,67.9,70,58.6,"","","",""
"INDIA","41. Mothers who had at least 4 antenatal care visits (%)",68.1,54.2,58.1,51.2,"","","",""
"INDIA","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.7,91.7,92,89,"","","",""
"INDIA","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",54,40.2,44.1,30.3,"","","",""
"INDIA","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",34.4,22.7,26,14.4,"","","",""
"INDIA","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.9,96.3,95.9,89.3,"","","",""
"INDIA","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",84.6,75.4,78,62.4,"","","",""
"INDIA","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3385,2770,2916,3197,"","","",""
"INDIA","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",3.8,4.3,4.2,2.5,"","","",""
"INDIA","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",85.7,76.5,79.1,NA,"","","",""
"INDIA","50. Institutional births (%)",93.8,86.7,88.6,78.9,"","","",""
"INDIA","51. Institutional births in public facility (%)",52.6,65.3,61.9,52.1,"","","",""
"INDIA","52. Home births that were conducted by skilled health personnel10 (%)",2.1,3.7,3.2,4.3,"","","",""
"INDIA","53. Births attended by skilled health personnel10 (%)",94,87.8,89.4,81.4,"","","",""
"INDIA","54. Births delivered by caesarean section (%)",32.3,17.6,21.5,17.2,"","","",""
"INDIA","55. Births in a private health facility that were delivered by caesarean section (%)",49.3,46,47.4,40.9,"","","",""
"INDIA","56. Births in a public health facility that were delivered by caesarean section (%)",22.7,11.9,14.3,11.9,"","","",""
"INDIA","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",75.5,76.8,76.4,62,"","","",""
"INDIA","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",83.3,84,83.8,77.9,"","","",""
"INDIA","59. Children age 12-23 months who have received BCG (%)",94.7,95.4,95.2,91.9,"","","",""
"INDIA","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",79.2,80.9,80.5,72.8,"","","",""
"INDIA","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",86,87,86.7,78.4,"","","",""
"INDIA","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",87.1,88.1,87.9,81.1,"","","",""
"INDIA","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",30.4,32.4,31.9,NA,"","","",""
"INDIA","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",34.9,37,36.4,NA,"","","",""
"INDIA","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",83,84.2,83.9,62.8,"","","",""
"INDIA","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",71.8,71,71.2,64.5,"","","",""
"INDIA","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",87.7,97,94.5,90.7,"","","",""
"INDIA","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",11.1,1.6,4.2,7.2,"","","",""
"INDIA","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.2,7.7,7.3,9.2,"","","",""
"INDIA","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",62.5,60.1,60.6,50.6,"","","",""
"INDIA","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",31.5,30.3,30.5,20.3,"","","",""
"INDIA","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",72.2,68,68.9,67.9,"","","",""
"INDIA","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.3,3,2.8,2.7,"","","",""
"INDIA","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",72.7,67.8,69,73.2,"","","",""
"INDIA","75. Children under age 3 years breastfed within one hour of birth15 (%)",44.7,40.7,41.8,41.6,"","","",""
"INDIA","76. Children under age 6 months exclusively breastfed16 (%)",59.6,65.1,63.7,54.9,"","","",""
"INDIA","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",52,43.9,45.9,42.7,"","","",""
"INDIA","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",11.8,10.8,11.1,8.7,"","","",""
"INDIA","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",14.2,12,12.7,14.3,"","","",""
"INDIA","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",12.3,11,11.3,9.6,"","","",""
"INDIA","81. Children under 5 years who are stunted (height-for-age)18 (%)",30.1,37.3,35.5,38.4,"","","",""
"INDIA","82. Children under 5 years who are wasted (weight-for-height)18 (%)",18.5,19.5,19.3,21,"","","",""
"INDIA","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",7.6,7.7,7.7,7.5,"","","",""
"INDIA","84. Children under 5 years who are underweight (weight-for-age)18 (%)",27.3,33.8,32.1,35.8,"","","",""
"INDIA","85. Children under 5 years who are overweight (weight-for-height)20 (%)",4.2,3.2,3.4,2.1,"","","",""
"INDIA","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",13.2,21.2,18.7,22.9,"","","",""
"INDIA","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",13,17.8,16.2,20.2,"","","",""
"INDIA","88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",33.2,19.7,24,20.6,"","","",""
"INDIA","89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",29.8,19.3,22.9,18.9,"","","",""
"INDIA","90. Women who have high risk waist-to-hip ratio (>0.85) (%)",59.9,55.2,56.7,NA,"","","",""
"INDIA","91. Men who have high risk waist-to-hip ratio (>0.90) (%)",50.1,46.4,47.7,NA,"","","",""
"INDIA","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",64.2,68.3,67.1,58.6,"","","",""
"INDIA","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",54.1,58.7,57.2,53.2,"","","",""
"INDIA","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",45.7,54.3,52.2,50.4,"","","",""
"INDIA","95. All women age 15-49 years who are anaemic22 (%)",53.8,58.5,57,53.1,"","","",""
"INDIA","96. All women age 15-19 years who are anaemic22 (%)",56.5,60.2,59.1,54.1,"","","",""
"INDIA","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",20.4,27.4,25,22.7,"","","",""
"INDIA","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",25,33.9,31.1,29.2,"","","",""
"INDIA","99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.7,5.9,6.1,NA,"","","",""
"INDIA","100. Blood sugar level - very high (>160 mg/dl)23 (%)",8,5.5,6.3,NA,"","","",""
"INDIA","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.3,12.3,13.5,NA,"","","",""
"INDIA","102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.8,7,7.3,NA,"","","",""
"INDIA","103. Blood sugar level - very high (>160 mg/dl)23 (%)",8.5,6.5,7.2,NA,"","","",""
"INDIA","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",17.9,14.5,15.6,NA,"","","",""
"INDIA","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.6,11.9,12.4,NA,"","","",""
"INDIA","106. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",5.2,5.2,5.2,NA,"","","",""
"INDIA","107. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",23.6,20.2,21.3,NA,"","","",""
"INDIA","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",17.1,15,15.7,NA,"","","",""
"INDIA","109. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",5.9,5.5,5.7,NA,"","","",""
"INDIA","110. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",26.6,22.7,24,NA,"","","",""
"INDIA","111. Ever undergone a screening test for cervical cancer (%)",2.2,1.7,1.9,NA,"","","",""
"INDIA","112. Ever undergone a breast examination for breast cancer (%)",1.2,0.7,0.9,NA,"","","",""
"INDIA","113. Ever undergone an oral cavity examination for oral cancer (%)",1.2,0.8,0.9,NA,"","","",""
"INDIA","114. Ever undergone an oral cavity examination for oral cancer (%)",1,1.3,1.2,NA,"","","",""
"INDIA","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",28.6,18.2,21.6,20.9,"","","",""
"INDIA","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",37.5,27.1,30.7,32.5,"","","",""
"INDIA","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",76.1,64.7,68.4,54.9,"","","",""
"INDIA","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",86.4,79.6,82,77.4,"","","",""
"INDIA","119. Currently married women who usually participate in three household decisions25 (%)",91,87.7,88.7,84,"","","",""
"INDIA","120. Women who worked in the last 12 months and were paid in cash (%)",25,25.6,25.4,24.6,"","","",""
"INDIA","121. Women owning a house and/or land (alone or jointly with others) (%)",38.3,45.7,43.3,38.4,"","","",""
"INDIA","122. Women having a bank or savings account that they themselves use (%)",80.9,77.4,78.6,53,"","","",""
"INDIA","123. Women having a mobile phone that they themselves use (%)",69.4,46.6,54,45.9,"","","",""
"INDIA","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",89.4,72.3,77.3,57.6,"","","",""
"INDIA","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",24.2,31.6,29.3,31.2,"","","",""
"INDIA","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.5,3.4,3.1,3.9,"","","",""
"INDIA","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",1.1,1.6,1.5,1.5,"","","",""
"INDIA","128. Women age 15 years and above who use any kind of tobacco (%)",5.4,10.5,8.9,NA,"","","",""
"INDIA","129. Men age 15 years and above who use any kind of tobacco (%)",28.8,42.7,38,NA,"","","",""
"INDIA","130. Women age 15 years and above who consume alcohol (%)",0.6,1.6,1.3,NA,"","","",""
"INDIA","131. Men age 15 years and above who consume alcohol (%)",16.5,19.9,18.8,NA,"","","",""
"Arunachal Pradesh","1. Female population age 6 years and above who ever attended school (%)",83.2,69,71.2,67.1,"","","",""
"Arunachal Pradesh","2. Population below age 15 years (%)",26.2,27.2,27.1,31.7,"","","",""
"Arunachal Pradesh","3. Sex ratio of the total population (females per 1,000 males)",989,998,997,958,"","","",""
"Arunachal Pradesh","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",912,990,979,926,"","","",""
"Arunachal Pradesh","5. Children under age 5 years whose birth was registered with the civil authority (%)",89.7,87.4,87.7,62.9,"","","",""
"Arunachal Pradesh","6. Deaths in the last 3 years registered with the civil authority (%)",41.3,33.4,34.5,NA,"","","",""
"Arunachal Pradesh","7. Population living in households with electricity (%)",99.5,94,94.8,88.3,"","","",""
"Arunachal Pradesh","8. Population living in households with an improved drinking-water source1 (%)",98.1,92.9,93.7,86.2,"","","",""
"Arunachal Pradesh","9. Population living in households that use an improved sanitation facility2 (%)",79.9,83.4,82.9,61.6,"","","",""
"Arunachal Pradesh","10. Households using clean fuel for cooking3 (%)",90.2,46.3,53.2,45,"","","",""
"Arunachal Pradesh","11. Households using iodized salt (%)",99.4,99.2,99.2,99.3,"","","",""
"Arunachal Pradesh","12. Households with any usual member covered under a health insurance/financing scheme (%)",33.6,28.5,29.3,58.3,"","","",""
"Arunachal Pradesh","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",8,5.5,5.9,NA,"","","",""
"Arunachal Pradesh","14. Women who are literate4 (%)",82.9,69,71.3,NA,"","","",""
"Arunachal Pradesh","15. Men who are literate4 (%)",91.4,84.5,85.7,NA,"","","",""
"Arunachal Pradesh","16. Women with 10 or more years of schooling (%)",55.4,36.2,39.4,31,"","","",""
"Arunachal Pradesh","17. Men with 10 or more years of schooling (%)",64.1,45,48.2,44.7,"","","",""
"Arunachal Pradesh","18. Women who have ever used the internet (%)",70,49.6,52.9,NA,"","","",""
"Arunachal Pradesh","19. Men who have ever used the internet (%)",86.9,68.5,71.6,NA,"","","",""
"Arunachal Pradesh","20. Women age 20-24 years married before age 18 years (%)",16.7,19.3,18.9,23.5,"","","",""
"Arunachal Pradesh","21. Men age 25-29 years married before age 21 years (%)",17.7,21.5,20.8,22.6,"","","",""
"Arunachal Pradesh","22. Total fertility rate (children per woman)",1.4,1.9,1.8,2.1,"","","",""
"Arunachal Pradesh","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.2,6.6,6,10.5,"","","",""
"Arunachal Pradesh","24. Adolescent fertility rate for women age 15-19 years5",27,40,38,56,"","","",""
"Arunachal Pradesh","25. Neonatal mortality rate (NNMR)",12.5,6.9,7.7,11.8,"","","",""
"Arunachal Pradesh","26. Infant mortality rate (IMR)",16.7,12.3,12.9,22.9,"","","",""
"Arunachal Pradesh","27. Under-five mortality rate (U5MR)",22.2,18.3,18.8,32.9,"","","",""
"Arunachal Pradesh","28. Any method6 (%)",57,59.5,59.1,31.7,"","","",""
"Arunachal Pradesh","29. Any modern method6 (%)",44.8,47.6,47.2,26.6,"","","",""
"Arunachal Pradesh","30. Female sterilization (%)",15.7,18.7,18.2,11.2,"","","",""
"Arunachal Pradesh","31. Male sterilization (%)",0,0,0,0,"","","",""
"Arunachal Pradesh","32. IUD/PPIUD (%)",6.3,6.2,6.2,3.4,"","","",""
"Arunachal Pradesh","33. Pill (%)",13.3,15.9,15.5,10.2,"","","",""
"Arunachal Pradesh","34. Condom (%)",7.5,4.2,4.7,1.4,"","","",""
"Arunachal Pradesh","35. Injectables (%)",0.7,1,1,0.2,"","","",""
"Arunachal Pradesh","36. Total unmet need7 (%)",13.4,12.3,12.5,21.5,"","","",""
"Arunachal Pradesh","37. Unmet need for spacing7 (%)",7.7,6.9,7,12.7,"","","",""
"Arunachal Pradesh","38. Health worker ever talked to female non-users about family planning (%)",21.1,19,19.4,12.3,"","","",""
"Arunachal Pradesh","39. Current users ever told about side effects of current method8 (%)",71.9,73.9,73.7,51.2,"","","",""
"Arunachal Pradesh","40. Mothers who had an antenatal check-up in the first trimester (%)",57.2,52.4,53.1,36.9,"","","",""
"Arunachal Pradesh","41. Mothers who had at least 4 antenatal care visits (%)",47.8,34.6,36.5,26.7,"","","",""
"Arunachal Pradesh","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",82.1,76.1,76.9,63.9,"","","",""
"Arunachal Pradesh","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",29.4,22.9,23.8,8.3,"","","",""
"Arunachal Pradesh","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",13,7.9,8.6,2.3,"","","",""
"Arunachal Pradesh","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.7,95.2,95.6,89.2,"","","",""
"Arunachal Pradesh","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",67,54.6,56.4,28.8,"","","",""
"Arunachal Pradesh","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",10178,9649,9731,6473,"","","",""
"Arunachal Pradesh","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",7.8,1.9,2.3,0.6,"","","",""
"Arunachal Pradesh","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",66.6,54.8,56.5,NA,"","","",""
"Arunachal Pradesh","50. Institutional births (%)",90.6,77.3,79.2,52.2,"","","",""
"Arunachal Pradesh","51. Institutional births in public facility (%)",82.1,73.6,74.8,42.7,"","","",""
"Arunachal Pradesh","52. Home births that were conducted by skilled health personnel10 (%)",3.2,4.1,4,2.1,"","","",""
"Arunachal Pradesh","53. Births attended by skilled health personnel10 (%)",93,80.3,82.1,53.7,"","","",""
"Arunachal Pradesh","54. Births delivered by caesarean section (%)",17.1,14.4,14.8,8.9,"","","",""
"Arunachal Pradesh","55. Births in a private health facility that were delivered by caesarean section (%)",56.3,43.8,47.3,37.5,"","","",""
"Arunachal Pradesh","56. Births in a public health facility that were delivered by caesarean section (%)",15,17.4,17,12.5,"","","",""
"Arunachal Pradesh","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",66.8,64.6,64.9,38.2,"","","",""
"Arunachal Pradesh","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",73.4,76.9,76.4,71.4,"","","",""
"Arunachal Pradesh","59. Children age 12-23 months who have received BCG (%)",93.4,87.1,87.9,70.9,"","","",""
"Arunachal Pradesh","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",70.5,68.8,69,53.7,"","","",""
"Arunachal Pradesh","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",83.2,76.8,77.7,52.3,"","","",""
"Arunachal Pradesh","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",85.1,80.1,80.7,54.6,"","","",""
"Arunachal Pradesh","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",29.6,27.1,27.4,NA,"","","",""
"Arunachal Pradesh","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",28.8,32.4,32,NA,"","","",""
"Arunachal Pradesh","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",80.9,71.8,73,40.9,"","","",""
"Arunachal Pradesh","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",75.7,68.8,69.7,45.3,"","","",""
"Arunachal Pradesh","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",99.3,97.3,97.6,93.9,"","","",""
"Arunachal Pradesh","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0.7,0.7,0.7,5.5,"","","",""
"Arunachal Pradesh","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.3,5.3,5.1,6.5,"","","",""
"Arunachal Pradesh","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",59.6,63.1,62.7,66.1,"","","",""
"Arunachal Pradesh","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",35.9,26.9,27.9,35.8,"","","",""
"Arunachal Pradesh","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",59.5,52.6,53.4,44.9,"","","",""
"Arunachal Pradesh","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.5,2,2.1,2.1,"","","",""
"Arunachal Pradesh","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",54,45.9,47.1,37.5,"","","",""
"Arunachal Pradesh","75. Children under age 3 years breastfed within one hour of birth15 (%)",54,51.7,52,58.6,"","","",""
"Arunachal Pradesh","76. Children under age 6 months exclusively breastfed16 (%)",66.2,62.9,63.4,57,"","","",""
"Arunachal Pradesh","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",42.3,49.5,48.4,53.9,"Based on 25-49 unweighted cases","","",""
"Arunachal Pradesh","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",26.5,23.4,23.8,12.3,"","","",""
"Arunachal Pradesh","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",16.8,12.8,13.1,26.1,"Based on 25-49 unweighted cases","","",""
"Arunachal Pradesh","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",25.7,21.4,22,14,"","","",""
"Arunachal Pradesh","81. Children under 5 years who are stunted (height-for-age)18 (%)",28.4,27.9,28,29.4,"","","",""
"Arunachal Pradesh","82. Children under 5 years who are wasted (weight-for-height)18 (%)",10.1,13.6,13.1,17.3,"","","",""
"Arunachal Pradesh","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",4.7,6.8,6.5,8,"","","",""
"Arunachal Pradesh","84. Children under 5 years who are underweight (weight-for-age)18 (%)",13.1,15.8,15.4,19.4,"","","",""
"Arunachal Pradesh","85. Children under 5 years who are overweight (weight-for-height)20 (%)",9.6,9.7,9.7,4.9,"","","",""
"Arunachal Pradesh","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",5.6,5.7,5.7,8.5,"","","",""
"Arunachal Pradesh","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",6.4,4.6,4.9,8.3,"","","",""
"Arunachal Pradesh","88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",28.9,22.9,23.9,18.8,"","","",""
"Arunachal Pradesh","89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",32.4,26.6,27.6,20.6,"","","",""
"Arunachal Pradesh","90. Women who have high risk waist-to-hip ratio (>0.85) (%)",66.6,69.4,68.9,NA,"","","",""
"Arunachal Pradesh","91. Men who have high risk waist-to-hip ratio (>0.90) (%)",47.9,45.7,46.1,NA,"","","",""
"Arunachal Pradesh","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",52.8,57.1,56.6,54.2,"","","",""
"Arunachal Pradesh","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",37,41.6,40.8,43.5,"","","",""
"Arunachal Pradesh","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",23.4,28.6,27.9,37.8,"","","",""
"Arunachal Pradesh","95. All women age 15-49 years who are anaemic22 (%)",36.5,41,40.3,43.2,"","","",""
"Arunachal Pradesh","96. All women age 15-19 years who are anaemic22 (%)",43.5,49.6,48.5,48.2,"","","",""
"Arunachal Pradesh","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",21.4,21.5,21.4,18.7,"","","",""
"Arunachal Pradesh","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",21.9,25.6,24.9,22.9,"","","",""
"Arunachal Pradesh","99. Blood sugar level - high (141-160 mg/dl)23 (%)",4.7,4.6,4.6,NA,"","","",""
"Arunachal Pradesh","100. Blood sugar level - very high (>160 mg/dl)23 (%)",3.7,3,3.1,NA,"","","",""
"Arunachal Pradesh","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",9.6,8.2,8.4,NA,"","","",""
"Arunachal Pradesh","102. Blood sugar level - high (141-160 mg/dl)23 (%)",6.4,6.8,6.7,NA,"","","",""
"Arunachal Pradesh","103. Blood sugar level - very high (>160 mg/dl)23 (%)",4.6,4.3,4.3,NA,"","","",""
"Arunachal Pradesh","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",12,11.9,11.9,NA,"","","",""
"Arunachal Pradesh","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.1,16.5,16.4,NA,"","","",""
"Arunachal Pradesh","106. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",6.8,6.7,6.7,NA,"","","",""
"Arunachal Pradesh","107. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",25.3,24.8,24.9,NA,"","","",""
"Arunachal Pradesh","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",23.1,22.8,22.8,NA,"","","",""
