"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",24.8,NA,"","","MH","Raigarh"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",18.3,NA,"","","MH","Raigarh"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",5.4,NA,"","","MH","Raigarh"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to ",26.4,NA,"","","MH","Raigarh"
"control blood pressure (%) 98.Ever undergone a screening test for cervical cancer (%)",1,NA,"","","MH","Raigarh"
"99.Ever undergone a breast examination for breast cancer (%)",0.6,NA,"","","MH","Raigarh"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0.4,NA,"","","MH","Raigarh"
"101. Women age 15 years and above who use any kind of tobacco (%)",16.2,NA,"","","MH","Raigarh"
"102. Men age 15 years and above who use any kind of tobacco (%)",31.8,NA,"","","MH","Raigarh"
"103. Women age 15 years and above who consume alcohol (%)",0.4,NA,"","","MH","Raigarh"
"104. Men age 15 years and above who consume alcohol (%)",18.7,NA,"","","MH","Raigarh"
