"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"46","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.2,90.1,90.7,79.7,"Andhra Pradesh","","","",""
"47","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2659,3248,3105,2322,"Andhra Pradesh","","","",""
"48","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,14.2,17.2,9.3,"Andhra Pradesh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"49","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.9,92.1,92.3,NA,"Andhra Pradesh","","","",""
"50","50. Institutional births (%)",98.6,95.7,96.5,91.5,"Andhra Pradesh","","","",""
"51","51. Institutional births in public facility (%)",41.8,53.7,50.4,38.3,"Andhra Pradesh","","","",""
"52","52. Home births that were conducted by skilled health personnel10 (%)",1,1.4,1.3,3.7,"Andhra Pradesh","","","",""
"53","53. Births attended by skilled health personnel10 (%)",98.3,95.2,96.1,92.1,"Andhra Pradesh","","","",""
"54","54. Births delivered by caesarean section (%)",50.5,39.3,42.4,40.1,"Andhra Pradesh","","","",""
"55","55. Births in a private health facility that were delivered by caesarean section (%)",66.1,61.4,63,57,"Andhra Pradesh","","","",""
"56","56. Births in a public health facility that were delivered by caesarean section (%)",30.9,25.2,26.6,25.5,"Andhra Pradesh","","","",""
"57","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",69.3,74.7,73,65.3,"Andhra Pradesh","","","",""
"58","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",89.1,87.5,88,79.9,"Andhra Pradesh","","","",""
"59","59. Children age 12-23 months who have received BCG (%)",92.4,95.6,94.6,97.3,"Andhra Pradesh","","","",""
"60","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",70.6,76.9,75,72.3,"Andhra Pradesh","","","",""
"61","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",84.8,89.9,88.4,89,"Andhra Pradesh","","","",""
"62","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",83.7,88.6,87.1,89.4,"Andhra Pradesh","","","",""
"63","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",27.1,31.3,30,NA,"Andhra Pradesh","","","",""
"64","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",72,77,75.5,NA,"Andhra Pradesh","","","",""
"65","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",83,86.4,85.3,68.8,"Andhra Pradesh","","","",""
"66","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",81.7,79.4,80,72.1,"Andhra Pradesh","","","",""
"67","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",86.4,97.4,94.2,91.6,"Andhra Pradesh","","","",""
"68","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",11.5,1.3,4.3,8.4,"Andhra Pradesh","","","",""
"69","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.2,7.6,7.2,6.6,"Andhra Pradesh","","","",""
"70","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",64.2,61.9,62.5,47.6,"Andhra Pradesh","Based on 25-49 unweighted cases","","",""
"71","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",32.8,44.7,41.8,30.1,"Andhra Pradesh","Based on 25-49 unweighted cases","","",""
"72","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",77.6,73.3,74.3,72.7,"Andhra Pradesh","Based on 25-49 unweighted cases","","",""
"73","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2,2.5,2.4,0.5,"Andhra Pradesh","","","",""
"74","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",69.2,70.6,70.2,77.3,"Andhra Pradesh","","","",""
"75","75. Children under age 3 years breastfed within one hour of birth15 (%)",51.6,52.2,52,40,"Andhra Pradesh","","","",""
"76","76. Children under age 6 months exclusively breastfed16 (%)",61.4,70.4,68,70.2,"Andhra Pradesh","","","",""
"77","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",67.3,45.4,50.8,56.1,"Andhra Pradesh","Based on 25-49 unweighted cases","","",""
"78","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",15.2,5.8,8.2,6.5,"Andhra Pradesh","","","",""
"79","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",19.5,7.8,12.1,11.9,"Andhra Pradesh","","","",""
"80","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",16.7,6.3,9.3,7.6,"Andhra Pradesh","","","",""
"81","81. Children under 5 years who are stunted (height-for-age)18 (%)",23.1,34.2,31.2,31.4,"Andhra Pradesh","","","",""
"82","82. Children under 5 years who are wasted (weight-for-height)18 (%)",17.6,15.5,16.1,17.2,"Andhra Pradesh","","","",""
"83","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",6.4,5.8,6,4.5,"Andhra Pradesh","","","",""
"84","84. Children under 5 years who are underweight (weight-for-age)18 (%)",25.1,31.4,29.6,31.9,"Andhra Pradesh","","","",""
"85","85. Children under 5 years who are overweight (weight-for-height)20 (%)",3,2.6,2.7,1.2,"Andhra Pradesh","","","",""
"86","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",11.9,16.2,14.8,17.6,"Andhra Pradesh","","","",""
"87","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",15,17.2,16.5,14.8,"Andhra Pradesh","","","",""
"88","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",44.4,32.6,36.3,33.2,"Andhra Pradesh","","","",""
"89","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",37.7,28,31.1,33.5,"Andhra Pradesh","","","",""
"90","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",52.7,47.2,48.9,NA,"Andhra Pradesh","","","",""
"91","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",53.8,52.6,53,NA,"Andhra Pradesh","","","",""
"92","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",58.7,65,63.2,58.6,"Andhra Pradesh","","","",""
"93","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",57.8,59.5,59,60.2,"Andhra Pradesh","","","",""
"94","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",56.2,52.7,53.7,52.9,"Andhra Pradesh","","","",""
"95","95. All women age 15-49 years who are anaemic22 (%)",57.8,59.3,58.8,60,"Andhra Pradesh","","","",""
"96","96. All women age 15-19 years who are anaemic22 (%)",62.3,59.1,60.1,61.1,"Andhra Pradesh","","","",""
"97","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",13.8,17.3,16.2,27,"Andhra Pradesh","","","",""
"98","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",12.8,21.4,18.7,29.3,"Andhra Pradesh","","","",""
"99","99. Blood sugar level - high (141-160 mg/dl)23 (%)",7.8,7,7.3,NA,"Andhra Pradesh","","","",""
"100","100. Blood sugar level - very high (>160 mg/dl)23 (%)",13.2,9.2,10.4,NA,"Andhra Pradesh","","","",""
"101","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",23.2,17.9,19.5,NA,"Andhra Pradesh","","","",""
"102","102. Blood sugar level - high (141-160 mg/dl)23 (%)",9.2,8.1,8.4,NA,"Andhra Pradesh","","","",""
"103","103. Blood sugar level - very high (>160 mg/dl)23 (%)",13.7,10.4,11.4,NA,"Andhra Pradesh","","","",""
"104","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",24.9,20.5,21.8,NA,"Andhra Pradesh","","","",""
"105","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.4,13.2,13.6,NA,"Andhra Pradesh","","","",""
"106","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",6.2,5.8,5.9,NA,"Andhra Pradesh","","","",""
"107","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",27.5,24.3,25.3,NA,"Andhra Pradesh","","","",""
"108","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",19.2,16.9,17.6,NA,"Andhra Pradesh","","","",""
"109","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",7.4,6.9,7.1,NA,"Andhra Pradesh","","","",""
"110","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",32.2,27.6,29,NA,"Andhra Pradesh","","","",""
"111","111. Ever undergone a screening test for cervical cancer (%)",4.3,4.8,4.7,NA,"Andhra Pradesh","","","",""
"112","112. Ever undergone a breast examination for breast cancer (%)",0.7,0.8,0.8,NA,"Andhra Pradesh","","","",""
"113","113. Ever undergone an oral cavity examination for oral cancer (%)",8.3,6.8,7.3,NA,"Andhra Pradesh","","","",""
"114","114. Ever undergone an oral cavity examination for oral cancer (%)",7.3,5.9,6.3,NA,"Andhra Pradesh","","","",""
"115","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",29.1,22.6,24.6,29,"Andhra Pradesh","","","",""
"116","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",47.1,34.7,38.6,55.5,"Andhra Pradesh","","","",""
"117","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",70.8,59.7,63,57.5,"Andhra Pradesh","","","",""
"118","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",88.4,80,82.6,83.4,"Andhra Pradesh","","","",""
"119","119. Currently married women who usually participate in three household decisions25 (%)",83.4,84.3,84.1,79.9,"Andhra Pradesh","","","",""
"120","120. Women who worked in the last 12 months and were paid in cash (%)",36.5,44.5,42.1,42.1,"Andhra Pradesh","","","",""
"121","121. Women owning a house and/or land (alone or jointly with others) (%)",41.4,50.6,47.8,44.7,"Andhra Pradesh","","","",""
"122","122. Women having a bank or savings account that they themselves use (%)",86.7,79.6,81.8,66.3,"Andhra Pradesh","","","",""
"123","123. Women having a mobile phone that they themselves use (%)",67.4,40.9,48.9,36.2,"Andhra Pradesh","","","",""
"124","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",90.6,82.5,85.1,67.5,"Andhra Pradesh","","","",""
"125","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",28.8,30.5,30,43.4,"Andhra Pradesh","","","",""
"126","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",3.5,3.9,3.8,4.9,"Andhra Pradesh","","","",""
"127","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",3.8,3.7,3.7,6.8,"Andhra Pradesh","","","",""
"128","128. Women age 15 years and above who use any kind of tobacco (%)",1.9,4.7,3.8,NA,"Andhra Pradesh","","","",""
"129","129. Men age 15 years and above who use any kind of tobacco (%)",15.8,25.6,22.6,NA,"Andhra Pradesh","","","",""
"130","130. Women age 15 years and above who consume alcohol (%)",0.3,0.6,0.5,NA,"Andhra Pradesh","","","",""
"131","131. Men age 15 years and above who consume alcohol (%)",20.5,24.5,23.3,NA,"Andhra Pradesh","","","",""
"132","1. Female population age 6 years and above who ever attended school (%)",87.9,76.5,78.2,75,"Assam","","","",""
"133","2. Population below age 15 years (%)",21.3,29.5,28.3,30.3,"Assam","","","",""
"134","3. Sex ratio of the total population (females per 1,000 males)",982,1017,1012,993,"Assam","","","",""
"135","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",916,970,964,929,"Assam","","","",""
"136","5. Children under age 5 years whose birth was registered with the civil authority (%)",97,96.2,96.3,94.2,"Assam","","","",""
"137","6. Deaths in the last 3 years registered with the civil authority (%)",80.5,62.8,65.5,NA,"Assam","","","",""
"138","7. Population living in households with electricity (%)",99,91.5,92.6,78.3,"Assam","","","",""
"139","8. Population living in households with an improved drinking-water source1 (%)",92.3,85,86,84.2,"Assam","","","",""
"140","9. Population living in households that use an improved sanitation facility2 (%)",69.7,68.4,68.6,49,"Assam","","","",""
"141","10. Households using clean fuel for cooking3 (%)",85.5,33.7,42.1,25.1,"Assam","","","",""
"142","11. Households using iodized salt (%)",99.6,98.6,98.8,99.6,"Assam","","","",""
"143","12. Households with any usual member covered under a health insurance/financing scheme (%)",50.1,61.9,60,10.4,"Assam","","","",""
"144","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",4.1,4.4,4.4,NA,"Assam","","","",""
"145","14. Women who are literate4 (%)",87.5,75.4,77.2,NA,"Assam","","","",""
"146","15. Men who are literate4 (%)",92.6,82.8,84.3,NA,"Assam","","","",""
"147","16. Women with 10 or more years of schooling (%)",49,26.2,29.6,26.2,"Assam","","","",""
"148","17. Men with 10 or more years of schooling (%)",53.2,32.2,35.5,33.2,"Assam","","","",""
"149","18. Women who have ever used the internet (%)",49,24.4,28.2,NA,"Assam","","","",""
"150","19. Men who have ever used the internet (%)",67.4,37.8,42.3,NA,"Assam","","","",""
"151","20. Women age 20-24 years married before age 18 years (%)",22.3,33.4,31.8,30.8,"Assam","","","",""
"152","21. Men age 25-29 years married before age 21 years (%)",18.3,22.5,21.8,15,"Assam","","","",""
"153","22. Total fertility rate (children per woman)",1.5,1.9,1.9,2.2,"Assam","","","",""
"154","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",5.8,12.5,11.7,13.6,"Assam","","","",""
"155","24. Adolescent fertility rate for women age 15-19 years5",41,64,61,72,"Assam","","","",""
"156","25. Neonatal mortality rate (NNMR)",15.2,23.4,22.5,32.8,"Assam","","","",""
"157","26. Infant mortality rate (IMR)",22.7,33.1,31.9,47.6,"Assam","","","",""
"158","27. Under-five mortality rate (U5MR)",33,39.9,39.1,56.5,"Assam","","","",""
"159","28. Any method6 (%)",61.4,60.7,60.8,52.4,"Assam","","","",""
"160","29. Any modern method6 (%)",42.3,45.8,45.3,37,"Assam","","","",""
"161","30. Female sterilization (%)",9.3,8.9,9,9.5,"Assam","","","",""
"162","31. Male sterilization (%)",0.1,0.1,0.1,0.1,"Assam","","","",""
"163","32. IUD/PPIUD (%)",3.4,2.9,2.9,2.2,"Assam","","","",""
"164","33. Pill (%)",21.2,28.6,27.5,22,"Assam","","","",""
"165","34. Condom (%)",7.6,4.4,4.9,2.7,"Assam","","","",""
"166","35. Injectables (%)",0.3,0.6,0.5,0.1,"Assam","","","",""
"167","36. Total unmet need7 (%)",9.9,11.1,11,14.2,"Assam","","","",""
"168","37. Unmet need for spacing7 (%)",3.1,4.3,4.1,5.8,"Assam","","","",""
"169","38. Health worker ever talked to female non-users about family planning (%)",18,22.1,21.4,17.2,"Assam","","","",""
"170","39. Current users ever told about side effects of current method8 (%)",67.4,70.3,70,55.3,"Assam","","","",""
"171","40. Mothers who had an antenatal check-up in the first trimester (%)",72.7,62.7,63.8,55.1,"Assam","","","",""
"172","41. Mothers who had at least 4 antenatal care visits (%)",62.6,49.2,50.7,46.4,"Assam","","","",""
"173","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",96.2,94.3,94.5,89.8,"Assam","","","",""
"174","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",54.4,46.6,47.5,32,"Assam","","","",""
"175","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",22.6,18,18.5,5.6,"Assam","","","",""
"176","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",98.9,98.7,98.7,96.3,"Assam","","","",""
"177","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",76.8,63.8,65.3,54,"Assam","","","",""
"178","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",6651,5269,5415,3821,"Assam","","","",""
"179","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",2.8,1.9,2,1.9,"Assam","","","",""
"180","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",80.7,68.5,69.9,NA,"Assam","","","",""
"181","50. Institutional births (%)",93.5,82.9,84.1,70.6,"Assam","","","",""
"182","51. Institutional births in public facility (%)",66.3,75.4,74.4,60,"Assam","","","",""
"183","52. Home births that were conducted by skilled health personnel10 (%)",2.2,2.6,2.6,3.9,"Assam","","","",""
"184","53. Births attended by skilled health personnel10 (%)",94.9,85.1,86.1,74.3,"Assam","","","",""
"185","54. Births delivered by caesarean section (%)",39.2,15.6,18.1,13.4,"Assam","","","",""
"186","55. Births in a private health facility that were delivered by caesarean section (%)",78.8,66.9,70.6,53.3,"Assam","","","",""
"187","56. Births in a public health facility that were delivered by caesarean section (%)",26.7,13.9,15.2,12.9,"Assam","","","",""
"188","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",63.2,66.9,66.4,47.1,"Assam","","","",""
"189","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",70.6,72,71.8,67.8,"Assam","","","",""
"190","59. Children age 12-23 months who have received BCG (%)",92.6,92.5,92.5,82.3,"Assam","","","",""
"191","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",69.3,74,73.4,56,"Assam","","","",""
"192","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",79.7,82,81.7,66.5,"Assam","","","",""
"193","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",77.3,83.6,82.8,71.4,"Assam","","","",""
"194","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",12.5,20.3,19.4,NA,"Assam","","","",""
"195","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",44.8,45.5,45.4,NA,"Assam","","","",""
"196","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",72.7,75.4,75.1,52,"Assam","","","",""
"197","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",63.3,57,57.7,51.3,"Assam","","","",""
"198","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",88.4,96.6,95.6,93.3,"Assam","","","",""
"199","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",9.2,1.3,2.3,5.3,"Assam","","","",""
"200","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",2.7,5.8,5.5,2.9,"Assam","","","",""
"201","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",81,68.4,69.1,51.9,"Assam","Based on 25-49 unweighted cases","","",""
"202","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",27,28,28,22,"Assam","Based on 25-49 unweighted cases","","",""
"203","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",61.8,53,53.5,50.8,"Assam","Based on 25-49 unweighted cases","","",""
"204","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.5,2.5,2.5,1,"Assam","","","",""
"205","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",55,50.8,51.2,46.8,"Assam","","","",""
"206","75. Children under age 3 years breastfed within one hour of birth15 (%)",48.5,49.2,49.1,64.4,"Assam","","","",""
"207","76. Children under age 6 months exclusively breastfed16 (%)",67.3,63,63.6,63.5,"Assam","","","",""
"208","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",57.6,51.2,51.7,49.9,"Assam","Based on 25-49 unweighted cases","","",""
"209","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",8.3,8.1,8.1,8.7,"Assam","","","",""
"210","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,5.9,5.4,10.8,"Assam","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"211","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",7.9,8,8,8.9,"Assam","","","",""
"212","81. Children under 5 years who are stunted (height-for-age)18 (%)",29.8,36,35.3,36.4,"Assam","","","",""
"213","82. Children under 5 years who are wasted (weight-for-height)18 (%)",19.1,22.1,21.7,17,"Assam","","","",""
"214","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8,9.2,9.1,6.2,"Assam","","","",""
"215","84. Children under 5 years who are underweight (weight-for-age)18 (%)",25.9,33.6,32.8,29.8,"Assam","","","",""
"216","85. Children under 5 years who are overweight (weight-for-height)20 (%)",8,4.5,4.9,2.3,"Assam","","","",""
"217","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",13.9,18.3,17.6,25.7,"Assam","","","",""
"218","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",11.3,13.8,13.4,20.7,"Assam","","","",""
"219","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",23.8,13.6,15.2,13.2,"Assam","","","",""
"220","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",25.4,14.5,16.2,12.9,"Assam","","","",""
"221","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",66.6,67.3,67.2,NA,"Assam","","","",""
"222","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",54.2,43.2,44.9,NA,"Assam","","","",""
"223","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",66.4,68.6,68.4,35.7,"Assam","","","",""
"224","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",66,66.4,66.4,46.1,"Assam","","","",""
"225","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",41.4,55.9,54.2,44.8,"Assam","","","",""
"226","95. All women age 15-49 years who are anaemic22 (%)",65.2,66,65.9,46,"Assam","","","",""
"227","96. All women age 15-19 years who are anaemic22 (%)",67.4,67,67,42.7,"Assam","","","",""
"228","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",27.6,37.5,36,25.4,"Assam","","","",""
"229","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",34.6,40.4,39.6,23.5,"Assam","","","",""
"230","99. Blood sugar level - high (141-160 mg/dl)23 (%)",8.4,6.6,6.9,NA,"Assam","","","",""
"231","100. Blood sugar level - very high (>160 mg/dl)23 (%)",7,4.5,4.9,NA,"Assam","","","",""
