"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",64.2,45.5,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",94.1,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"51. Children age 12-23 months who have received BCG (%)",80.4,61.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",69.1,56.8,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",71.9,55.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",67.3,46.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",20.7,NA,"Based on 25-49 unweighted cases","","AN","Nicobars"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",3.1,NA,"Based on 25-49 unweighted cases","","AN","Nicobars"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",68.6,44.4,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",93.4,71.6,"","","AN","Nicobars"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",100,100,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0,0,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","AN","Nicobars"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",5.7,5.1,"","","AN","Nicobars"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.8,1.4,"","","AN","Nicobars"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",85.7,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",55.4,34.9,"","","AN","Nicobars"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",19.4,10.2,"Based on 25-49 unweighted cases","","AN","Nicobars"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",18.7,9,"Based on 25-49 unweighted cases","","AN","Nicobars"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",21.6,20.3,"","","AN","Nicobars"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",15.7,7.4,"","","AN","Nicobars"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",7.8,2.3,"","","AN","Nicobars"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",24.6,10.5,"","","AN","Nicobars"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",1.5,4.8,"","","AN","Nicobars"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",8.2,4.5,"","","AN","Nicobars"
"79. Women who are overweight or obese (BMI â‰¥25.0 kg/m2)21 (%)",39.1,18.7,"","","AN","Nicobars"
"80. Women who have high risk waist-to-hip ratio (â‰¥0.85) (%)",62.5,NA,"","","AN","Nicobars"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",37.7,50.5,"","","AN","Nicobars"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",38.4,54.5,"","","AN","Nicobars"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"84. All women age 15-49 years who are anaemic22 (%)",38.3,55.2,"","","AN","Nicobars"
"85. All women age 15-19 years who are anaemic22 (%)",48,66.2,"","","AN","Nicobars"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",7.4,NA,"","","AN","Nicobars"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",3.9,NA,"","","AN","Nicobars"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",13.1,NA,"","","AN","Nicobars"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",9.6,NA,"","","AN","Nicobars"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",4.4,NA,"","","AN","Nicobars"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",15.4,NA,"","","AN","Nicobars"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",23.2,NA,"","","AN","Nicobars"
"93. Moderately or severely elevated blood pressure (Systolic â‰¥160mm of Hg and/or Diastolic â‰¥100mm of Hg) (%)",8.5,NA,"","","AN","Nicobars"
"94. Elevated blood pressure (Systolic â‰¥140 mm of Hg and/or Diastolic â‰¥90 mm of Hg) or taking medicine to control blood pressure (%)",35.4,NA,"","","AN","Nicobars"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",32.9,NA,"","","AN","Nicobars"
"96. Moderately or severely elevated blood pressure (Systolic â‰¥160mm of Hg and/or Diastolic â‰¥100mm of Hg) (%)",11.1,NA,"","","AN","Nicobars"
"97. Elevated blood pressure (Systolic â‰¥140 mm of Hg and/or Diastolic â‰¥90 mm of Hg) or taking medicine to control blood pressure (%)",47,NA,"","","AN","Nicobars"
"98. Ever undergone a screening test for cervical cancer (%)",13.4,NA,"","","AN","Nicobars"
"99. Ever undergone a breast examination for breast cancer (%)",13.2,NA,"","","AN","Nicobars"
"100. Ever undergone an oral cavity examination for oral cancer (%)",5.4,NA,"","","AN","Nicobars"
"101. Women age 15 years and above who use any kind of tobacco (%)",63.5,NA,"","","AN","Nicobars"
"102. Men age 15 years and above who use any kind of tobacco (%)",76.8,NA,"","","AN","Nicobars"
"103. Women age 15 years and above who consume alcohol (%)",29.6,NA,"","","AN","Nicobars"
"104. Men age 15 years and above who consume alcohol (%)",64.5,NA,"","","AN","Nicobars"
"1. Female population age 6 years and above who ever attended school (%)",82.7,83.8,"","","AN","North & Middle Andaman"
"2. Population below age 15 years (%)",19.8,22.6,"","","AN","North & Middle Andaman"
"3. Sex ratio of the total population (females per 1,000 males)",950,951,"","","AN","North & Middle Andaman"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",844,975,"","","AN","North & Middle Andaman"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",100,99.6,"","","AN","North & Middle Andaman"
"6. Deaths in the last 3 years registered with the civil authority (%)",92.6,NA,"Based on 25-49 unweighted cases","","AN","North & Middle Andaman"
"7. Population living in households with electricity (%)",93.2,92.7,"","","AN","North & Middle Andaman"
"8. Population living in households with an improved drinking-water source1 (%)",92.2,90.3,"","","AN","North & Middle Andaman"
"9. Population living in households that use an improved sanitation facility2 (%)",86.4,49.9,"","","AN","North & Middle Andaman"
"10. Households using clean fuel for cooking3 (%)",61.3,35.5,"","","AN","North & Middle Andaman"
"11. Households using iodized salt (%)",99.9,99.4,"","","AN","North & Middle Andaman"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",2.1,3.2,"","","AN","North & Middle Andaman"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",30.1,NA,"Based on 25-49 unweighted cases","","AN","North & Middle Andaman"
"14. Women who are literate4 (%)",84,NA,"","","AN","North & Middle Andaman"
"15. Women with 10 or more years of schooling (%)",41,39.2,"","","AN","North & Middle Andaman"
"16. Women age 20-24 years married before age 18 years (%)",15.4,24.7,"","","AN","North & Middle Andaman"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",1.5,1.6,"","","AN","North & Middle Andaman"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.8,6.5,"","","AN","North & Middle Andaman"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",100,84.8,"","","AN","North & Middle Andaman"
"20. Any method6 (%)",84.1,66.9,"","","AN","North & Middle Andaman"
"21. Any modern method6 (%)",73.1,62,"","","AN","North & Middle Andaman"
"22. Female sterilization (%)",48.3,50,"","","AN","North & Middle Andaman"
"23. Male sterilization (%)",0.6,0,"","","AN","North & Middle Andaman"
"24. IUD/PPIUD (%)",6.4,3.9,"","","AN","North & Middle Andaman"
"25. Pill (%)",7.8,2.6,"","","AN","North & Middle Andaman"
"26. Condom (%)",9.3,5.5,"","","AN","North & Middle Andaman"
"27. Injectables (%)",0,0,"","","AN","North & Middle Andaman"
"28. Total unmet need7 (%)",5.8,12.2,"","","AN","North & Middle Andaman"
"29. Unmet need for spacing7 (%)",1.3,6.2,"","","AN","North & Middle Andaman"
"30. Health worker ever talked to female non-users about family planning (%)",23.2,32,"","","AN","North & Middle Andaman"
"31. Current users ever told about side effects of current method8 (%)",83.2,75.5,"","","AN","North & Middle Andaman"
"32. Mothers who had an antenatal check-up in the first trimester (%)",74.5,83.7,"","","AN","North & Middle Andaman"
"33. Mothers who had at least 4 antenatal care visits (%)",79.2,95.2,"","","AN","North & Middle Andaman"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",91.1,96.2,"","","AN","North & Middle Andaman"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",83.7,45.5,"","","AN","North & Middle Andaman"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",24.1,27.6,"","","AN","North & Middle Andaman"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.2,99.4,"","","AN","North & Middle Andaman"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.5,78.3,"","","AN","North & Middle Andaman"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",1904,1105,"","","AN","North & Middle Andaman"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",94.3,NA,"","","AN","North & Middle Andaman"
"42. Institutional births (%)",97.7,95,"","","AN","North & Middle Andaman"
"43. Institutional births in public facility (%)",95,91.5,"","","AN","North & Middle Andaman"
"44. Home births that were conducted by skilled health personnel10 (%)",0.7,0.5,"","","AN","North & Middle Andaman"
"45. Births attended by skilled health personnel10 (%)",98.3,95.5,"","","AN","North & Middle Andaman"
"46. Births delivered by caesarean section (%)",12.9,14.3,"","","AN","North & Middle Andaman"
"47. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"48. Births in a public health facility that were delivered by caesarean section (%)",11.4,12.6,"","","AN","North & Middle Andaman"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",NA,89.1,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",NA,95.2,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"51. Children age 12-23 months who have received BCG (%)",NA,95.4,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",NA,93.6,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",NA,95.4,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",NA,90.9,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","AN","North & Middle Andaman"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","AN","North & Middle Andaman"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",NA,93.6,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",89.6,59.8,"Based on 25-49 unweighted cases","","AN","North & Middle Andaman"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",NA,100,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",NA,0,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.5,4.9,"","","AN","North & Middle Andaman"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",7,0.4,"","","AN","North & Middle Andaman"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",27.3,43.9,"","","AN","North & Middle Andaman"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",6.5,18.3,"Based on 25-49 unweighted cases","","AN","North & Middle Andaman"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","North & Middle Andaman"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",5.9,20.7,"Based on 25-49 unweighted cases","","AN","North & Middle Andaman"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",27,32.5,"","","AN","North & Middle Andaman"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",27,31.7,"","","AN","North & Middle Andaman"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.3,18.5,"","","AN","North & Middle Andaman"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",42.8,33.5,"","","AN","North & Middle Andaman"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",0.8,2.1,"","","AN","North & Middle Andaman"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",8.6,14.5,"","","AN","North & Middle Andaman"
"79. Women who are overweight or obese (BMI â‰¥25.0 kg/m2)21 (%)",35.9,30,"","","AN","North & Middle Andaman"
"80. Women who have high risk waist-to-hip ratio (â‰¥0.85) (%)",79.3,NA,"","","AN","North & Middle Andaman"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",30.4,47.3,"","","AN","North & Middle Andaman"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",62.5,65.1,"","","AN","North & Middle Andaman"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,51.5,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","AN","North & Middle Andaman"
"84. All women age 15-49 years who are anaemic22 (%)",62.1,64.7,"","","AN","North & Middle Andaman"
"85. All women age 15-19 years who are anaemic22 (%)",47.8,67.7,"","","AN","North & Middle Andaman"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",7.2,NA,"","","AN","North & Middle Andaman"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",6.4,NA,"","","AN","North & Middle Andaman"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.7,NA,"","","AN","North & Middle Andaman"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",9.1,NA,"","","AN","North & Middle Andaman"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",6.9,NA,"","","AN","North & Middle Andaman"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",18.3,NA,"","","AN","North & Middle Andaman"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",18.4,NA,"","","AN","North & Middle Andaman"
"93. Moderately or severely elevated blood pressure (Systolic â‰¥160mm of Hg and/or Diastolic â‰¥100mm of Hg) (%)",4,NA,"","","AN","North & Middle Andaman"
"94. Elevated blood pressure (Systolic â‰¥140 mm of Hg and/or Diastolic â‰¥90 mm of Hg) or taking medicine to control blood pressure (%)",27.4,NA,"","","AN","North & Middle Andaman"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",22.6,NA,"","","AN","North & Middle Andaman"
"96. Moderately or severely elevated blood pressure (Systolic â‰¥160mm of Hg and/or Diastolic â‰¥100mm of Hg) (%)",6,NA,"","","AN","North & Middle Andaman"
"97. Elevated blood pressure (Systolic â‰¥140 mm of Hg and/or Diastolic â‰¥90 mm of Hg) or taking medicine to control blood pressure (%)",32.2,NA,"","","AN","North & Middle Andaman"
"98. Ever undergone a screening test for cervical cancer (%)",1.7,NA,"","","AN","North & Middle Andaman"
"99. Ever undergone a breast examination for breast cancer (%)",0.3,NA,"","","AN","North & Middle Andaman"
"100. Ever undergone an oral cavity examination for oral cancer (%)",15.8,NA,"","","AN","North & Middle Andaman"
"101. Women age 15 years and above who use any kind of tobacco (%)",46.8,NA,"","","AN","North & Middle Andaman"
"102. Men age 15 years and above who use any kind of tobacco (%)",70.5,NA,"","","AN","North & Middle Andaman"
"103. Women age 15 years and above who consume alcohol (%)",5.1,NA,"","","AN","North & Middle Andaman"
"104. Men age 15 years and above who consume alcohol (%)",45.3,NA,"","","AN","North & Middle Andaman"
"1. Female population age 6 years and above who ever attended school (%)",84.7,85.8,"","","AN","South Andaman"
"2. Population below age 15 years (%)",21,24.2,"","","AN","South Andaman"
"3. Sex ratio of the total population (females per 1,000 males)",967,989,"","","AN","South Andaman"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",935,794,"","","AN","South Andaman"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",96.5,97,"","","AN","South Andaman"
"6. Deaths in the last 3 years registered with the civil authority (%)",92.2,NA,"","","AN","South Andaman"
"7. Population living in households with electricity (%)",99.6,98.8,"","","AN","South Andaman"
"8. Population living in households with an improved drinking-water source1 (%)",97.9,96.4,"","","AN","South Andaman"
"9. Population living in households that use an improved sanitation facility2 (%)",89.3,84.4,"","","AN","South Andaman"
"10. Households using clean fuel for cooking3 (%)",91.9,77.3,"","","AN","South Andaman"
"11. Households using iodized salt (%)",99.7,99.2,"","","AN","South Andaman"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",1.2,6.8,"","","AN","South Andaman"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",50.8,NA,"Based on 25-49 unweighted cases","","AN","South Andaman"
"14. Women who are literate4 (%)",86.7,NA,"","","AN","South Andaman"
"15. Women with 10 or more years of schooling (%)",57.5,53.2,"","","AN","South Andaman"
"16. Women age 20-24 years married before age 18 years (%)",17.1,14.1,"","","AN","South Andaman"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.5,0.8,"","","AN","South Andaman"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.8,3.9,"","","AN","South Andaman"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",98.2,92.1,"","","AN","South Andaman"
"20. Any method6 (%)",57.1,45.6,"","","AN","South Andaman"
"21. Any modern method6 (%)",50.5,43.9,"","","AN","South Andaman"
"22. Female sterilization (%)",34,36.3,"","","AN","South Andaman"
"23. Male sterilization (%)",0,0,"","","AN","South Andaman"
"24. IUD/PPIUD (%)",2.8,1.6,"","","AN","South Andaman"
"25. Pill (%)",1.8,2.1,"","","AN","South Andaman"
"26. Condom (%)",10.6,3.9,"","","AN","South Andaman"
"27. Injectables (%)",0.3,0,"","","AN","South Andaman"
"28. Total unmet need7 (%)",17.6,16.5,"","","AN","South Andaman"
"29. Unmet need for spacing7 (%)",8.6,8.4,"","","AN","South Andaman"
"30. Health worker ever talked to female non-users about family planning (%)",31.2,37.4,"","","AN","South Andaman"
"31. Current users ever told about side effects of current method8 (%)",88.2,58.2,"","","AN","South Andaman"
