"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"29. Unmet need for spacing7 (%)",4.5,5.4,"","","HP","Hamirpur"
"30. Health worker ever talked to female non-users about family planning (%)",17.3,18.9,"","","HP","Hamirpur"
"31. Current users ever told about side effects of current method8 (%)",32.7,47.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Hamirpur"
"32. Mothers who had an antenatal check-up in the first trimester (%)",67.5,70.1,"","","HP","Hamirpur"
"33. Mothers who had at least 4 antenatal care visits (%)",59.4,73.6,"","","HP","Hamirpur"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",82.8,85.2,"","","HP","Hamirpur"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",69.9,53.8,"","","HP","Hamirpur"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",33.5,19.9,"","","HP","Hamirpur"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.8,96.7,"","","HP","Hamirpur"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",88.9,81.2,"","","HP","Hamirpur"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",4229,4155,"","","HP","Hamirpur"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",96.8,NA,"","","HP","Hamirpur"
"42. Institutional births (%)",97.6,90.9,"","","HP","Hamirpur"
"43. Institutional births in public facility (%)",75.1,76.5,"","","HP","Hamirpur"
"44. Home births that were conducted by skilled health personnel10 (%)",0,3.7,"","","HP","Hamirpur"
"45. Births attended by skilled health personnel10 (%)",92.4,91.5,"","","HP","Hamirpur"
"46. Births delivered by caesarean section (%)",21.3,21.3,"","","HP","Hamirpur"
"47. Births in a private health facility that were delivered by caesarean section (%)",42.7,54.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Hamirpur"
"48. Births in a public health facility that were delivered by caesarean section (%)",15.5,17.7,"","","HP","Hamirpur"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",74.3,45.9,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",100,64.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Hamirpur"
"51. Children age 12-23 months who have received BCG (%)",88.6,88.3,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",74.3,67.7,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",83,74.2,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",85.2,77.6,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",40.9,NA,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",77.1,NA,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",83,61.7,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",80,87.8,"","","HP","Hamirpur"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",97,100,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Hamirpur"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",3,0,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Hamirpur"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",12.4,6.2,"","","HP","Hamirpur"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.1,2.6,"","","HP","Hamirpur"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,78.2,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","HP","Hamirpur"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",38.1,40.1,"","","HP","Hamirpur"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",31.7,17,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",31.8,18.9,"Based on 25-49 unweighted cases","","HP","Hamirpur"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",27.3,29.3,"","","HP","Hamirpur"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",14.9,12.6,"","","HP","Hamirpur"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",4.9,5,"","","HP","Hamirpur"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",23.6,19.4,"","","HP","Hamirpur"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",0.8,3.3,"","","HP","Hamirpur"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",17.2,13.6,"","","HP","Hamirpur"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",37.1,30.9,"","","HP","Hamirpur"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",59.6,NA,"","","HP","Hamirpur"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",52,41.2,"","","HP","Hamirpur"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",49.4,35.6,"","","HP","Hamirpur"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Hamirpur"
"84. All women age 15-49 years who are anaemic22 (%)",49.5,35.8,"","","HP","Hamirpur"
"85. All women age 15-19 years who are anaemic22 (%)",48.2,29,"","","HP","Hamirpur"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",7.5,NA,"","","HP","Hamirpur"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",10.6,NA,"","","HP","Hamirpur"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",19.2,NA,"","","HP","Hamirpur"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",8,NA,"","","HP","Hamirpur"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",10.8,NA,"","","HP","Hamirpur"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",21.2,NA,"","","HP","Hamirpur"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.7,NA,"","","HP","Hamirpur"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",6.8,NA,"","","HP","Hamirpur"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",28.1,NA,"","","HP","Hamirpur"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",22.6,NA,"","","HP","Hamirpur"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",7.1,NA,"","","HP","Hamirpur"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",35.2,NA,"","","HP","Hamirpur"
"98. Ever undergone a screening test for cervical cancer (%)",1,NA,"","","HP","Hamirpur"
"99. Ever undergone a breast examination for breast cancer (%)",0.4,NA,"","","HP","Hamirpur"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0.2,NA,"","","HP","Hamirpur"
"101. Women age 15 years and above who use any kind of tobacco (%)",0.7,NA,"","","HP","Hamirpur"
"102. Men age 15 years and above who use any kind of tobacco (%)",33,NA,"","","HP","Hamirpur"
"103. Women age 15 years and above who consume alcohol (%)",0.3,NA,"","","HP","Hamirpur"
"104. Men age 15 years and above who consume alcohol (%)",29.2,NA,"","","HP","Hamirpur"
"1. Female population age 6 years and above who ever attended school (%)",84.1,83.4,"","","HP","Kangra"
"2. Population below age 15 years (%)",21.1,23.8,"","","HP","Kangra"
"3. Sex ratio of the total population (females per 1,000 males)",1051,1107,"","","HP","Kangra"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",795,781,"","","HP","Kangra"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98.1,97.1,"","","HP","Kangra"
"6. Deaths in the last 3 years registered with the civil authority (%)",90.8,NA,"","","HP","Kangra"
"7. Population living in households with electricity (%)",99.7,100,"","","HP","Kangra"
"8. Population living in households with an improved drinking-water source1 (%)",98.6,97.6,"","","HP","Kangra"
"9. Population living in households that use an improved sanitation facility2 (%)",73.3,68,"","","HP","Kangra"
"10. Households using clean fuel for cooking3 (%)",49.1,34.9,"","","HP","Kangra"
"11. Households using iodized salt (%)",98.7,99.9,"","","HP","Kangra"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",36.4,25.6,"","","HP","Kangra"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",1.2,NA,"","","HP","Kangra"
"14. Women who are literate4 (%)",94.4,NA,"","","HP","Kangra"
"15. Women with 10 or more years of schooling (%)",69.9,65.8,"","","HP","Kangra"
" 16. Women age 20-24 years married before age 18 years (%)",1.5,NA,"","","HP","Kangra"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",1,1.8,"","","HP","Kangra"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0.8,0,"","","HP","Kangra"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",89,83.7,"","","HP","Kangra"
"20. Any method6 (%)",59.1,47.9,"","","HP","Kangra"
"21. Any modern method6 (%)",52,41.3,"","","HP","Kangra"
"22. Female sterilization (%)",32.6,24.4,"","","HP","Kangra"
"23. Male sterilization (%)",0.5,0.8,"","","HP","Kangra"
"24. IUD/PPIUD (%)",1.3,0.8,"","","HP","Kangra"
"25. Pill (%)",1.1,0.9,"","","HP","Kangra"
"26. Condom (%)",16.4,14.5,"","","HP","Kangra"
"27. Injectables (%)",0,0,"","","HP","Kangra"
"28. Total unmet need7 (%)",11.8,18.8,"","","HP","Kangra"
"29. Unmet need for spacing7 (%)",3.6,4.8,"","","HP","Kangra"
"30. Health worker ever talked to female non-users about family planning (%)",15.8,17.2,"","","HP","Kangra"
"32. Mothers who had an antenatal check-up in the first trimester (%)",51.5,74.5,"","","HP","Kangra"
"33. Mothers who had at least 4 antenatal care visits (%)",56.3,81.9,"","","HP","Kangra"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",78.8,93.9,"","","HP","Kangra"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",63.4,57.8,"","","HP","Kangra"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",38.5,23.9,"","","HP","Kangra"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96.4,97,"","","HP","Kangra"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",88.7,83.3,"","","HP","Kangra"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2087,2432,"","","HP","Kangra"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",85.9,NA,"","","HP","Kangra"
"42. Institutional births (%)",90.2,87.8,"","","HP","Kangra"
"43. Institutional births in public facility (%)",75,68.7,"","","HP","Kangra"
"44. Home births that were conducted by skilled health personnel10 (%)",2,4.5,"","","HP","Kangra"
"45. Births attended by skilled health personnel10 (%)",87.5,90.9,"","","HP","Kangra"
"46. Births delivered by caesarean section (%)",28.2,21.5,"","","HP","Kangra"
"47. Births in a private health facility that were delivered by caesarean section (%)",75.9,37.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"48. Births in a public health facility that were delivered by caesarean section (%)",22.3,21,"","","HP","Kangra"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or",83.9,68.6,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"50. Cmhoiltdhreern's  ragecea 1ll2- 2(%3 m) onths fully vaccinated based on information from vaccination card only12 (%) 11",92,83.7,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"51. Children age 12-23 months who have received BCG (%)",97.4,95.2,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",83.9,85.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",97.4,85.2,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",95.2,81,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",28.7,NA,"Based on 25-49 unweighted cases","","HP","Kangra"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",86.1,NA,"Based on 25-49 unweighted cases","","HP","Kangra"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",97.4,75.6,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",79,77.4,"","","HP","Kangra"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",95.5,100,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",2.4,0,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",5,7.1,"","","HP","Kangra"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.4,0.6,"","","HP","Kangra"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",72.4,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",43.3,45.5,"","","HP","Kangra"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",15.5,8.3,"Based on 25-49 unweighted cases","","HP","Kangra"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","HP","Kangra"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",18.6,10.5,"","","HP","Kangra"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",28,25.6,"","","HP","Kangra"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",19.4,11.3,"","","HP","Kangra"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",7.7,2.4,"","","HP","Kangra"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",32,23.3,"","","HP","Kangra"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",2.3,1,"","","HP","Kangra"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",15.2,18.8,"","","HP","Kangra"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",31,28.2,"","","HP","Kangra"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",60.9,NA,"","","HP","Kangra"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",55.3,47.3,"","","HP","Kangra"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",63.7,60.2,"","","HP","Kangra"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,46.9,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","HP","Kangra"
"84. All women age 15-49 years who are anaemic22 (%)",63.4,59.7,"","","HP","Kangra"
"85. All women age 15-19 years who are anaemic22 (%)",57.7,56.9,"","","HP","Kangra"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",7.4,NA,"","","HP","Kangra"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",7.9,NA,"","","HP","Kangra"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.4,NA,"","","HP","Kangra"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",6,NA,"","","HP","Kangra"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",8.4,NA,"","","HP","Kangra"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",15.7,NA,"","","HP","Kangra"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.4,NA,"","","HP","Kangra"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",6.8,NA,"","","HP","Kangra"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",24.9,NA,"","","HP","Kangra"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",17.5,NA,"","","HP","Kangra"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",5.1,NA,"","","HP","Kangra"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",26.6,NA,"","","HP","Kangra"
"98. Ever undergone a screening test for cervical cancer (%)",0.2,NA,"","","HP","Kangra"
"99. Ever undergone a breast examination for breast cancer (%)",0.2,NA,"","","HP","Kangra"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0,NA,"","","HP","Kangra"
"101. Women age 15 years and above who use any kind of tobacco (%)",1.2,NA,"","","HP","Kangra"
"102. Men age 15 years and above who use any kind of tobacco (%)",32.9,NA,"","","HP","Kangra"
"103. Women age 15 years and above who consume alcohol (%)",1.1,NA,"","","HP","Kangra"
"1. Female population age 6 years and above who ever attended school (%)",77.4,74.2,"","","HP","Kullu"
"2. Population below age 15 years (%)",21.8,23.3,"","","HP","Kullu"
"3. Sex ratio of the total population (females per 1,000 males)",1008,1015,"","","HP","Kullu"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1017,1009,"","","HP","Kullu"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",96.1,93.9,"","","HP","Kullu"
"6. Deaths in the last 3 years registered with the civil authority (%)",88.5,NA,"","","HP","Kullu"
"7. Population living in households with electricity (%)",99.2,99.5,"","","HP","Kullu"
"8. Population living in households with an improved drinking-water source1 (%)",94.3,94.8,"","","HP","Kullu"
"9. Population living in households that use an improved sanitation facility2 (%)",81.2,68.5,"","","HP","Kullu"
"10. Households using clean fuel for cooking3 (%)",65,37.8,"","","HP","Kullu"
"11. Households using iodized salt (%)",99.8,98.9,"","","HP","Kullu"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",26.8,19.8,"","","HP","Kullu"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",7.8,NA,"","","HP","Kullu"
"14. Women who are literate4 (%)",87.4,NA,"","","HP","Kullu"
"15. Women with 10 or more years of schooling (%)",54.4,46.4,"","","HP","Kullu"
"16. Women age 20-24 years married before age 18 years (%)",8.7,17.8,"","","HP","Kullu"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.9,0.4,"","","HP","Kullu"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",4.7,8,"","","HP","Kullu"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",85.7,87.7,"","","HP","Kullu"
"20. Any method6 (%)",78.3,63.4,"","","HP","Kullu"
"21. Any modern method6 (%)",67.5,58.3,"","","HP","Kullu"
"22. Female sterilization (%)",32.6,29,"","","HP","Kullu"
"23. Male sterilization (%)",9.7,12.5,"","","HP","Kullu"
"24. IUD/PPIUD (%)",0.9,1,"","","HP","Kullu"
"25. Pill (%)",2.8,0.9,"","","HP","Kullu"
"26. Condom (%)",20.9,14.8,"","","HP","Kullu"
"27. Injectables (%)",0.3,0.2,"","","HP","Kullu"
"28. Total unmet need7 (%)",5,15.4,"","","HP","Kullu"
"29. Unmet need for spacing7 (%)",1.4,5.2,"","","HP","Kullu"
"30. Health worker ever talked to female non-users about family planning (%)",16.8,13.2,"","","HP","Kullu"
"31. Current users ever told about side effects of current method8 (%)",69.7,32.7,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","HP","Kullu"
"32. Mothers who had an antenatal check-up in the first trimester (%)",62.1,82.1,"","","HP","Kullu"
"33. Mothers who had at least 4 antenatal care visits (%)",60,71.3,"","","HP","Kullu"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",91.8,85.2,"","","HP","Kullu"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",61.9,56.3,"","","HP","Kullu"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",43.4,24.4,"","","HP","Kullu"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.3,94.6,"","","HP","Kullu"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",84.6,71.8,"","","HP","Kullu"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2919,2927,"","","HP","Kullu"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",0,4.9,"Based on 25-49 unweighted cases","","HP","Kullu"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",86.6,NA,"","","HP","Kullu"
"42. Institutional births (%)",87,70.5,"","","HP","Kullu"
"43. Institutional births in public facility (%)",66.8,62.7,"","","HP","Kullu"
"44. Home births that were conducted by skilled health personnel10 (%)",2.5,3.9,"","","HP","Kullu"
"45. Births attended by skilled health personnel10 (%)",88.1,73.5,"","","HP","Kullu"
"46. Births delivered by caesarean section (%)",13.6,10.7,"","","HP","Kullu"
