"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"32. Mothers who had an antenatal check-up in the first trimester (%)",74.7,65.8,"","","WB","Bankura"
"33. Mothers who had at least 4 antenatal care visits (%)",75.7,89.5,"","","WB","Bankura"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",89.5,96.1,"","","WB","Bankura"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",60.5,46.7,"","","WB","Bankura"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",23.3,16.2,"","","WB","Bankura"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.5,97.6,"","","WB","Bankura"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",67.2,61.8,"","","WB","Bankura"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3274,4980,"","","WB","Bankura"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,3.4,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","WB","Bankura"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",76.5,NA,"","","WB","Bankura"
"42. Institutional births (%)",93.3,85.6,"","","WB","Bankura"
"43. Institutional births in public facility (%)",83.3,71.5,"","","WB","Bankura"
"44. Home births that were conducted by skilled health personnel10 (%)",4.7,3.1,"","","WB","Bankura"
"45. Births attended by skilled health personnel10 (%)",93.8,87.9,"","","WB","Bankura"
"46. Births delivered by caesarean section (%)",22.7,18,"","","WB","Bankura"
"47. Births in a private health facility that were delivered by caesarean section (%)",NA,58.8,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","WB","Bankura"
"48. Births in a public health facility that were delivered by caesarean section (%)",20.9,13.5,"","","WB","Bankura"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",85,96.2,"Based on 25-49 unweighted cases","","WB","Bankura"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",94.6,98.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","WB","Bankura"
"51. Children age 12-23 months who have received BCG (%)",97.8,100,"Based on 25-49 unweighted cases","","WB","Bankura"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",94.1,98,"Based on 25-49 unweighted cases","","WB","Bankura"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",93.7,100,"Based on 25-49 unweighted cases","","WB","Bankura"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",93.5,98.2,"Based on 25-49 unweighted cases","","WB","Bankura"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",32.5,NA,"Based on 25-49 unweighted cases","","WB","Bankura"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",6.4,NA,"Based on 25-49 unweighted cases","","WB","Bankura"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",74.6,92.1,"Based on 25-49 unweighted cases","","WB","Bankura"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",69.7,81,"","","WB","Bankura"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",100,100,"Based on 25-49 unweighted cases","","WB","Bankura"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0,0,"Based on 25-49 unweighted cases","","WB","Bankura"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",12.7,5.1,"","","WB","Bankura"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",87.3,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Bankura"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",44.5,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Bankura"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",67.3,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Bankura"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",4.3,2.9,"","","WB","Bankura"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",71.1,85.5,"","Based on 25-49 unweighted cases","WB","Bankura"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",47.6,54.1,"","","WB","Bankura"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Bankura"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Bankura"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",26.2,23.5,"","","WB","Bankura"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Bankura"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",23.8,23,"","","WB","Bankura"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",30.3,34,"","","WB","Bankura"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",26,27,"","","WB","Bankura"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.3,7.8,"","","WB","Bankura"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",38.8,39.8,"","","WB","Bankura"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",1.9,1.2,"","","WB","Bankura"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",28,33.3,"","","WB","Bankura"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",13,9.4,"","","WB","Bankura"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",56,NA,"","","WB","Bankura"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",67.1,47.3,"","","WB","Bankura"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",77.3,66.9,"","","WB","Bankura"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",71.3,66.7,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","WB","Bankura"
"84. All women age 15-49 years who are anaemic22 (%)",77,66.9,"","","WB","Bankura"
"85. All women age 15-19 years who are anaemic22 (%)",80.3,71.9,"","","WB","Bankura"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",8.1,NA,"","","WB","Bankura"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",7.1,NA,"","","WB","Bankura"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.2,NA,"","","WB","Bankura"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",11.4,NA,"","","WB","Bankura"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",10.9,NA,"","","WB","Bankura"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",23.8,NA,"","","WB","Bankura"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",11.5,NA,"","","WB","Bankura"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",5.1,NA,"","","WB","Bankura"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",21,NA,"","","WB","Bankura"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.8,NA,"","","WB","Bankura"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",3.2,NA,"","","WB","Bankura"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",20.3,NA,"","","WB","Bankura"
"98. Ever undergone a screening test for cervical cancer (%)",0.4,NA,"","","WB","Bankura"
"99. Ever undergone a breast examination for breast cancer (%)",0.2,NA,"","","WB","Bankura"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0,NA,"","","WB","Bankura"
"101. Women age 15 years and above who use any kind of tobacco (%)",21.5,NA,"","","WB","Bankura"
"102. Men age 15 years and above who use any kind of tobacco (%)",47.7,NA,"","","WB","Bankura"
"103. Women age 15 years and above who consume alcohol (%)",0.6,NA,"","","WB","Bankura"
"104. Men age 15 years and above who consume alcohol (%)",16,NA,"","","WB","Bankura"
"1. Female population age 6 years and above who ever attended school (%)",73.6,69,"","","WB","Birbhum"
"2. Population below age 15 years (%)",25.7,25.4,"","","WB","Birbhum"
"3. Sex ratio of the total population (females per 1,000 males)",1033,968,"","","WB","Birbhum"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",934,865,"","","WB","Birbhum"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",99.2,97.7,"","","WB","Birbhum"
"6. Deaths in the last 3 years registered with the civil authority (%)",75.2,NA,"","","WB","Birbhum"
"7. Population living in households with electricity (%)",97.8,96.4,"","","WB","Birbhum"
"8. Population living in households with an improved drinking-water source1 (%)",99.4,97.7,"","","WB","Birbhum"
"9. Population living in households that use an improved sanitation facility2 (%)",55,31.1,"","","WB","Birbhum"
"10. Households using clean fuel for cooking3 (%)",28.1,15.5,"","","WB","Birbhum"
"11. Households using iodized salt (%)",93.3,94.2,"","","WB","Birbhum"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",37.7,40.9,"","","WB","Birbhum"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",7.3,NA,"","","WB","Birbhum"
"14. Women who are literate4 (%)",70.8,NA,"","","WB","Birbhum"
"15. Women with 10 or more years of schooling (%)",25.8,22.1,"","","WB","Birbhum"
"16. Women age 20-24 years married before age 18 years (%)",49.9,51.3,"","","WB","Birbhum"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.6,0.4,"","","WB","Birbhum"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",25,24.9,"","","WB","Birbhum"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",79.3,36.2,"","","WB","Birbhum"
"20. Any method6 (%)",82.2,77.1,"","","WB","Birbhum"
"21. Any modern method6 (%)",73.9,65.5,"","","WB","Birbhum"
"22. Female sterilization (%)",41.3,37.4,"","","WB","Birbhum"
"23. Male sterilization (%)",0.2,0.1,"","","WB","Birbhum"
"24. IUD/PPIUD (%)",1.6,0.5,"","","WB","Birbhum"
"25. Pill (%)",24.7,22.2,"","","WB","Birbhum"
"26. Condom (%)",5.6,4.9,"","","WB","Birbhum"
"27. Injectables (%)",0.3,0.4,"","","WB","Birbhum"
"28. Total unmet need7 (%)",4.8,4.1,"","","WB","Birbhum"
"29. Unmet need for spacing7 (%)",2.7,2.3,"","","WB","Birbhum"
"30. Health worker ever talked to female non-users about family planning (%)",21.6,13.7,"","","WB","Birbhum"
"31. Current users ever told about side effects of current method8 (%)",48.1,60.6,"","","WB","Birbhum"
"32. Mothers who had an antenatal check-up in the first trimester (%)",81.9,50.8,"","","WB","Birbhum"
"33. Mothers who had at least 4 antenatal care visits (%)",78.4,78.1,"","","WB","Birbhum"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",98.4,96.9,"","","WB","Birbhum"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",51.5,22.7,"","","WB","Birbhum"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",16.2,1.2,"","","WB","Birbhum"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",98.7,99.5,"","","WB","Birbhum"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",67.5,78.6,"","","WB","Birbhum"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",1391,2639,"","","WB","Birbhum"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",10.1,3.6,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","WB","Birbhum"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",81.7,NA,"","","WB","Birbhum"
"42. Institutional births (%)",90.3,86.3,"","","WB","Birbhum"
"43. Institutional births in public facility (%)",72.7,74.1,"","","WB","Birbhum"
"44. Home births that were conducted by skilled health personnel10 (%)",2.4,1.5,"","","WB","Birbhum"
"45. Births attended by skilled health personnel10 (%)",92.2,88.2,"","","WB","Birbhum"
"46. Births delivered by caesarean section (%)",25.4,17.3,"","","WB","Birbhum"
"47. Births in a private health facility that were delivered by caesarean section (%)",92.2,83.7,"","Based on 25-49 unweighted cases","WB","Birbhum"
"48. Births in a public health facility that were delivered by caesarean section (%)",12.6,9.6,"","","WB","Birbhum"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",81.6,91.4,"","","WB","Birbhum"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",90.9,96.6,"","","WB","Birbhum"
"51. Children age 12-23 months who have received BCG (%)",95.2,100,"","","WB","Birbhum"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",84.8,92.9,"","","WB","Birbhum"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",98.4,91.4,"","","WB","Birbhum"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",98.4,98.5,"","","WB","Birbhum"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",43.3,NA,"","","WB","Birbhum"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",0,NA,"","","WB","Birbhum"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",96.8,92.9,"","","WB","Birbhum"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",57.3,71.1,"","","WB","Birbhum"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",96.9,100,"","","WB","Birbhum"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0,0,"","","WB","Birbhum"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",9.5,5.6,"","","WB","Birbhum"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",68.1,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",31.5,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",74.7,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",4.7,0.4,"","","WB","Birbhum"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",78.9,NA,"","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",72,54.6,"","","WB","Birbhum"
"68. Children under age 6 months exclusively breastfed16 (%)",56.2,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",24.8,31,"","","WB","Birbhum"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Birbhum"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",24.6,30.3,"","","WB","Birbhum"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",37,40.5,"","","WB","Birbhum"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",25.5,29.5,"","","WB","Birbhum"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",5.6,10.1,"","","WB","Birbhum"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",41.8,43.1,"","","WB","Birbhum"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",3.4,1.3,"","","WB","Birbhum"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",20.5,30.3,"","","WB","Birbhum"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",13.4,10.3,"","","WB","Birbhum"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",63.9,NA,"","","WB","Birbhum"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",76.5,59,"","","WB","Birbhum"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",78.2,64.8,"","","WB","Birbhum"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",66,39.8,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","WB","Birbhum"
"84. All women age 15-49 years who are anaemic22 (%)",77.7,63.8,"","","WB","Birbhum"
"85. All women age 15-19 years who are anaemic22 (%)",78.6,62.4,"","","WB","Birbhum"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",8.7,NA,"","","WB","Birbhum"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",7.2,NA,"","","WB","Birbhum"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.4,NA,"","","WB","Birbhum"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",11.4,NA,"","","WB","Birbhum"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",9.1,NA,"","","WB","Birbhum"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",20.9,NA,"","","WB","Birbhum"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",10.7,NA,"","","WB","Birbhum"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",4,NA,"","","WB","Birbhum"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",17.5,NA,"","","WB","Birbhum"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",9.9,NA,"","","WB","Birbhum"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",2.1,NA,"","","WB","Birbhum"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",14.1,NA,"","","WB","Birbhum"
"98. Ever undergone a screening test for cervical cancer (%)",0.2,NA,"","","WB","Birbhum"
"99. Ever undergone a breast examination for breast cancer (%)",0.2,NA,"","","WB","Birbhum"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0,NA,"","","WB","Birbhum"
"101. Women age 15 years and above who use any kind of tobacco (%)",8.1,NA,"","","WB","Birbhum"
"102. Men age 15 years and above who use any kind of tobacco (%)",50.3,NA,"","","WB","Birbhum"
"103. Women age 15 years and above who consume alcohol (%)",1.7,NA,"","","WB","Birbhum"
"104. Men age 15 years and above who consume alcohol (%)",18,NA,"","","WB","Birbhum"
"1. Female population age 6 years and above who ever attended school (%)",77.7,70.2,"","","WB","Dakshin Dinajpur"
"2. Population below age 15 years (%)",23.4,24.1,"","","WB","Dakshin Dinajpur"
"3. Sex ratio of the total population (females per 1,000 males)",1106,1023,"","","WB","Dakshin Dinajpur"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1067,903,"","","WB","Dakshin Dinajpur"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",97.7,96.2,"","","WB","Dakshin Dinajpur"
"6. Deaths in the last 3 years registered with the civil authority (%)",80.2,NA,"","","WB","Dakshin Dinajpur"
"7. Population living in households with electricity (%)",96.5,94.8,"","","WB","Dakshin Dinajpur"
"8. Population living in households with an improved drinking-water source1 (%)",99.7,100,"","","WB","Dakshin Dinajpur"
"9. Population living in households that use an improved sanitation facility2 (%)",79,47.5,"","","WB","Dakshin Dinajpur"
"10. Households using clean fuel for cooking3 (%)",28.7,12.6,"","","WB","Dakshin Dinajpur"
"11. Households using iodized salt (%)",97.3,92.1,"","","WB","Dakshin Dinajpur"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",28.3,40.7,"","","WB","Dakshin Dinajpur"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",21.9,NA,"","","WB","Dakshin Dinajpur"
"14. Women who are literate4 (%)",74.3,NA,"","","WB","Dakshin Dinajpur"
"15. Women with 10 or more years of schooling (%)",30.5,21.7,"","","WB","Dakshin Dinajpur"
"16. Women age 20-24 years married before age 18 years (%)",45.6,45.1,"","","WB","Dakshin Dinajpur"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0,2.2,"","","WB","Dakshin Dinajpur"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",18.2,19.5,"","","WB","Dakshin Dinajpur"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",76.6,43,"","","WB","Dakshin Dinajpur"
"20. Any method6 (%)",78.6,60.3,"","","WB","Dakshin Dinajpur"
"21. Any modern method6 (%)",59,53.2,"","","WB","Dakshin Dinajpur"
"22. Female sterilization (%)",26.6,21,"","","WB","Dakshin Dinajpur"
"23. Male sterilization (%)",0.1,0.2,"","","WB","Dakshin Dinajpur"
"24. IUD/PPIUD (%)",3.3,0.9,"","","WB","Dakshin Dinajpur"
"25. Pill (%)",17.6,25.6,"","","WB","Dakshin Dinajpur"
"26. Condom (%)",9.9,5,"","","WB","Dakshin Dinajpur"
"27. Injectables (%)",1,0.3,"","","WB","Dakshin Dinajpur"
"28. Total unmet need7 (%)",6.1,8.5,"","","WB","Dakshin Dinajpur"
"29. Unmet need for spacing7 (%)",2.6,2.8,"","","WB","Dakshin Dinajpur"
"30. Health worker ever talked to female non-users about family planning (%)",16,9.9,"","","WB","Dakshin Dinajpur"
"31. Current users ever told about side effects of current method8 (%)",68.3,42.2,"","","WB","Dakshin Dinajpur"
"32. Mothers who had an antenatal check-up in the first trimester (%)",70.9,51.8,"","","WB","Dakshin Dinajpur"
"33. Mothers who had at least 4 antenatal care visits (%)",76.4,68.6,"","","WB","Dakshin Dinajpur"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",95.3,90.7,"","","WB","Dakshin Dinajpur"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",76.2,38.8,"","","WB","Dakshin Dinajpur"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",36.2,10.6,"","","WB","Dakshin Dinajpur"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.6,98.3,"","","WB","Dakshin Dinajpur"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",83.2,65.9,"","","WB","Dakshin Dinajpur"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2593,10350,"","","WB","Dakshin Dinajpur"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,5.4,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","WB","Dakshin Dinajpur"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89.1,NA,"","","WB","Dakshin Dinajpur"
"42. Institutional births (%)",91.4,78.2,"","","WB","Dakshin Dinajpur"
"43. Institutional births in public facility (%)",81.2,71.6,"","","WB","Dakshin Dinajpur"
"44. Home births that were conducted by skilled health personnel10 (%)",3.1,4.5,"","","WB","Dakshin Dinajpur"
"45. Births attended by skilled health personnel10 (%)",94,80.3,"","","WB","Dakshin Dinajpur"
"46. Births delivered by caesarean section (%)",25.3,16.5,"","","WB","Dakshin Dinajpur"
"47. Births in a private health facility that were delivered by caesarean section (%)",93.4,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","WB","Dakshin Dinajpur"
"48. Births in a public health facility that were delivered by caesarean section (%)",19.5,15.7,"","","WB","Dakshin Dinajpur"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",92.6,83.2,"","","WB","Dakshin Dinajpur"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",93,87.4,"","Based on 25-49 unweighted cases","WB","Dakshin Dinajpur"
